A UTF-8 character to enforce saving the file as UTF-8: Ñ
2010 CITY OF BELL SALARY CONTROVERSY|CA|902
4S RANCH|CA|921
AARONS CORNER|NC|270
ABBEVILLE|AL|363
ABBEVILLE|GA|310
ABBEVILLE|LA|705
ABBEVILLE|MS|386
ABBEVILLE|SC|296
ABBOT|ME|044
ABBOTTSTOWN|PA|173
ABBOTT|TX|766
ABBOTT|VA|241
ABBYVILLE|KS|675
ABERCROMBIE|ND|580
ABERDEEN GARDENS|WA|985
ABERDEEN|ID|832
ABERDEEN|MD|210
ABERDEEN|MS|397
ABERDEEN|NC|283
ABERDEEN|OH|451
ABERDEEN|SD|574
ABERDEEN TOWNSHIP|NJ|077
ABERDEEN|WA|985
ABERNATHY|TX|793
ABIE|NE|680
ABILENE|KS|674
ABILENE|TX|796
ABINGDON|IL|614
ABINGDON|VA|242
ABINGTON|IN|473
ABINGTON|MA|023
ABINGTON TOWNSHIP|PA|190
ABOITE TOWNSHIP|IN|467
ABRAMS CDP|WI|541
ABSAROKEE|MT|590
ABSECON|NJ|082
ACCIDENT|MD|215
ACCOKEEK|MD|206
ACCOMAC|VA|233
ACCORD|NY|124
ACEQUIA|ID|833
ACHILLE|OK|747
ACKERLY|TX|797
ACKERMAN|MS|397
ACKLEY|IA|506
ACKWORTH|IA|500
ACME|IN|472
ACME|PA|156
ACME TOWNSHIP|MI|496
ACME|WA|982
ACONA|MS|389
ACTON|CA|935
ACTON|IN|462
ACTON|MA|017
ACTON|ME|040
ACUFF|TX|794
ACUSHNET|MA|027
ACWORTH|GA|301
ACWORTH|NH|036
ACY|LA|707
ADAIR|IA|500
ADAIR|IL|614
ADAIR|OK|743
ADAIRSVILLE|GA|301
ADAIR VILLAGE|OR|973
ADAIRVILLE|KY|422
ADAK|AK|995
ADA|MN|565
ADAMSBORO|IN|469
ADAMSBURG|AL|359
ADAMSBURG|PA|156
ADAMS CDP|MA|012
ADAMS CENTER|NY|136
ADAMS|IN|461
ADAMS|IN|472
ADAMS|MA|012
ADAMS MILL|IN|469
ADAMS|MN|559
ADAMS|ND|582
ADAMS|NE|683
ADAMS|NY|136
ADAMS|OK|739
ADAMS|OR|978
ADAMS|TN|370
ADAMSTOWN|PA|195
ADAMS TOWNSHIP|IL|605
ADAMS TOWNSHIP|IN|460
ADAMS TOWNSHIP|IN|461
ADAMS TOWNSHIP|IN|467
ADAMS TOWNSHIP|IN|472
ADAMS TOWNSHIP|IN|478
ADAMS TOWNSHIP|MI|492
ADAMS TOWNSHIP|MN|559
ADAMS VILLAGE|NY|136
ADAMSVILLE|AL|350
ADAMSVILLE|FL|335
ADAMSVILLE|FL|347
ADAMSVILLE|OH|438
ADAMSVILLE|TN|383
ADA|OH|458
ADA|OK|748
ADA TOWNSHIP|MI|493
ADA TOWNSHIP|SD|576
ADDIEVILLE|IL|622
ADDINGTON|OK|735
ADDISON|AL|355
ADDISON|ME|046
ADDISON|MI|492
ADDISON TOWN|NY|148
ADDISON TOWNSHIP|IL|600
ADDISON TOWNSHIP|MI|483
ADDISON TOWNSHIP|OH|456
ADDISON|TX|750
ADDISON VILLAGE|NY|148
ADDISON|VT|054
ADDYSTON|OH|450
ADE|IN|479
ADELAIDE|GA|317
ADELANTO|CA|923
ADEL|GA|316
ADEL|IA|500
ADELINE|IL|610
ADELPHI|MD|207
ADELPHI|OH|431
ADENA|OH|439
ADGER|AL|350
ADMIRE|KS|668
ADONA|AR|720
ADRIAN CHARTER TOWNSHIP|MI|492
ADRIAN|GA|310
ADRIAN|IL|623
ADRIAN|MI|492
ADRIAN|MN|561
ADRIAN|MO|647
ADRIAN|OR|979
ADRIAN|TX|790
ADRIAN|WV|262
ADVANCE|IN|461
ADVANCE|MO|637
ADVENT|WV|252
AETNA SPRINGS|CA|945
AETNA TOWNSHIP|MI|496
AFTON|IA|508
AFTON|MN|550
AFTON|OK|743
AFTON TOWN|NY|137
AFTON TOWNSHIP|IL|601
AFTON|VA|229
AFTON VILLAGE|NY|137
AFTON|WY|831
AGAR|SD|575
AGATE|CO|801
AGAWAM|MA|010
AGENCY|IA|525
AGENCY|MO|644
AGENCY VILLAGE|SD|572
AGENDA|KS|669
AGNESS|OR|974
AGOURA|CA|913
AGOURA HILLS|CA|913
AGRA|KS|676
AGRA|OK|748
AGUA DULCE|CA|913
AGUA DULCE|TX|783
AGUA FRIA|NM|875
AGUILAR|CO|810
AGUILARES|TX|783
AH GWAH CHING|MN|564
AHMEEK|MI|499
AHOSKIE|NC|279
AHTANUM|WA|989
AHWAHNEE|CA|936
AIEA|HI|967
AIGLEVILLE ALABAMA|AL|367
AIKEN|TX|792
AILEY|GA|304
AINSWORTH|IA|522
AINSWORTH|IN|463
AINSWORTH|NE|692
AIRLIE|VA|201
AIRMONT|NY|109
AIRPORT|VA|240
AIRWAY HEIGHTS|WA|990
AITKIN|MN|564
AITKIN TOWNSHIP|MN|564
AIX|IN|479
AJO|AZ|853
AKASKA|SD|574
AKELEY|MN|564
AKELEY TOWNSHIP|MN|564
AKIN|IL|628
AKRA TOWNSHIP|ND|582
AKRON|AL|354
AKRON|CO|807
AKRON|IN|469
AKRON|MI|487
AKRON|NY|140
AKRON|PA|175
AKRON TOWNSHIP|MI|487
ALABAMA|NY|140
ALABASTER|AL|350
ALACHUA|FL|326
ALADDIN CITY|FL|331
ALAMANCE|NC|272
ALAMEDA|CA|945
ALAMO|CA|945
ALAMO|GA|304
ALAMOGORDO|NM|883
ALAMO HEIGHTS|TX|782
ALAMO|IN|479
ALAMO|ND|588
ALAMO|NV|890
ALAMOSA|CO|811
ALAMO|TN|380
ALAMO|TX|785
ALANSON|MI|497
ALAPAHA|GA|316
ALASKA TOWNSHIP|MN|566
ALBA|MO|648
ALBANY|CA|947
ALBANY|IL|612
ALBANY|IN|473
ALBANY|KY|426
ALBANY|MN|563
ALBANY|MO|644
ALBANY|NH|038
ALBANY|NY|122
ALBANY|OH|457
ALBANY|OR|973
ALBANY TOWNSHIP|MN|563
ALBANY|TX|764
