FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|CENSUS_CODE|CENSUS_CLASS_CODE|GSA_CODE|OPM_CODE|STATE_NUMERIC|STATE_ALPHA|COUNTY_SEQUENCE|COUNTY_NUMERIC|COUNTY_NAME|PRIMARY_LATITUDE|PRIMARY_LONGITUDE|DATE_CREATED|DATE_EDITED
1388627|Etena|Populated Place|21700|U6|||60|AS|1|040|Swains Island|-11.0552778|-171.0738889|02/06/1981|
1388634|Taulaga|Populated Place|78700|U6|||60|AS|1|040|Swains Island|-11.0552778|-171.0883333|02/06/1981|
1388635|Aasu|Populated Place|00100|P1|||60|AS|1|050|Western|-14.2975|-170.7583333|02/06/1981|04/21/2008
1388637|Afao|Populated Place|02500|P1|||60|AS|1|050|Western|-14.3366667|-170.7991667|02/06/1981|04/21/2008
1388640|Āfono|Populated Place|03300|P1|||60|AS|1|010|Eastern|-14.2641667|-170.6508333|02/06/1981|08/02/2009
1388644|Afulei|Populated Place|03700|U6|||60|AS|1|010|Eastern|-14.28|-170.6238889|02/06/1981|
1388650|Aganoa|Populated Place|04100|U6|||60|AS|1|010|Eastern|-14.2794444|-170.5791667|02/06/1981|
1388658|Alao|Populated Place|04900|P1|||60|AS|1|010|Eastern|-14.2675|-170.5636111|02/06/1981|04/21/2008
1388660|Alaufau|Populated Place|05700|U6|||60|AS|1|020|Manu‘a District|-14.1716667|-169.6788889|02/06/1981|
1388662|Ālega|Populated Place|06500|P1|||60|AS|1|010|Eastern|-14.2852778|-170.6375|02/06/1981|08/02/2009
1388669|Alofau|Populated Place|07300|P1|||60|AS|1|010|Eastern|-14.2791667|-170.6022222|02/06/1981|04/21/2008
1388673|Amalau (historical)|Populated Place|07700|U6|||60|AS|1|010|Eastern|-14.2575|-170.6583333|02/06/1981|
1388674|Amaluia|Populated Place|08100|P1|||60|AS|1|050|Western|-14.3383333|-170.7911111|02/06/1981|04/21/2008
1388675|‘Āmanave|Populated Place|08900|P1|||60|AS|1|050|Western|-14.33|-170.8294444|02/06/1981|05/12/2014
1388679|Amaua|Populated Place|09700|P1|||60|AS|1|010|Eastern|-14.2769444|-170.6216667|02/06/1981|04/21/2008
1388681|Āmouli|Populated Place|10500|P1|||60|AS|1|010|Eastern|-14.2780556|-170.5825|02/06/1981|08/02/2009
1388687|Anasosopo|Populated Place|10900|U6|||60|AS|1|010|Eastern|-14.2886111|-170.6627778|02/06/1981|
1388690|Anua|Populated Place|11300|P1|||60|AS|1|010|Eastern|-14.275|-170.6877778|02/06/1981|04/21/2008
1388691|‘Aoa|Populated Place|12100|P1|||60|AS|1|010|Eastern|-14.2655556|-170.5838889|02/06/1981|05/12/2014
1388694|A‘oloaufou|Populated Place|12900|U6|||60|AS|1|050|Western|-14.3197222|-170.7677778|02/06/1981|05/11/2014
1388695|Aoloautuai (historical)|Populated Place|13300|U6|||60|AS|1|050|Western|-14.3002778|-170.78|02/06/1981|
1388702|Asili|Populated Place|13700|P1|||60|AS|1|050|Western|-14.3355556|-170.7955556|02/06/1981|04/21/2008
1388707|Atu‘u|Populated Place|14500|P1|||60|AS|1|010|Eastern|-14.2744444|-170.6847222|02/06/1981|05/11/2014
1388708|Aūa|Populated Place|15300|P1|||60|AS|1|010|Eastern|-14.2761111|-170.6638889|02/06/1981|08/02/2009
1388710|Auasi|Populated Place|16100|P1|||60|AS|1|010|Eastern|-14.2766667|-170.5744444|02/06/1981|04/21/2008
