FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|CENSUS_CODE|CENSUS_CLASS_CODE|GSA_CODE|OPM_CODE|STATE_NUMERIC|STATE_ALPHA|COUNTY_SEQUENCE|COUNTY_NUMERIC|COUNTY_NAME|PRIMARY_LATITUDE|PRIMARY_LONGITUDE|DATE_CREATED|DATE_EDITED
205033|Abington|Populated Place|00170|U6|0003|090003015|09|CT|1|015|Windham|41.8606534|-72.0067411|09/12/1979|
205046|Addison|Populated Place|00240|U6|||09|CT|1|003|Hartford|41.7184328|-72.5767558|09/12/1979|
205073|Allingtown|Populated Place|00520|U4|||09|CT|1|009|New Haven|41.2975971|-72.9601032|09/12/1979|
205076|Almyville|Populated Place|00660|U6|||09|CT|1|015|Windham|41.7181545|-71.8661829|09/12/1979|
205084|Amesville|Populated Place|00800|U6|||09|CT|1|005|Litchfield|41.962871|-73.3759526|09/12/1979|
205090|Amston|Populated Place|00940|U6|0005|090005013|09|CT|1|013|Tolland|41.6253766|-72.3431379|09/12/1979|
205094|Andover|Populated Place|01010|U6|0007|090007013|09|CT|1|013|Tolland|41.7373212|-72.37036|09/12/1979|
205107|Ansonia|Populated Place|01150|P1|0010|090010009|09|CT|1|009|New Haven|41.3462078|-73.0789969|09/12/1979|02/27/2008
205113|Aqua Vista|Populated Place|01330|U6|||09|CT|1|001|Fairfield|41.4462057|-73.4440108|09/12/1979|
205121|Arnolds|Populated Place|01345|U6|||09|CT|1|007|Middlesex|41.4659324|-72.5145334|09/12/1979|
205147|Attawan Beach|Populated Place|01640|U6|||09|CT|1|011|New London|41.3031533|-72.2067451|09/12/1979|
205148|Attawaugan|Populated Place|01710|U6|||09|CT|1|015|Windham|41.8673204|-71.8811831|09/12/1979|
205154|Atwoodville|Populated Place|01780|U6|||09|CT|1|013|Tolland|41.7848206|-72.1745219|09/12/1979|
205157|Augerville|Populated Place|01815|U6|||09|CT|1|009|New Haven|41.3720415|-72.9059353|09/12/1979|
205171|Avon|Populated Place|01990|U6|0015|090015003|09|CT|1|003|Hartford|41.8098209|-72.8306541|09/12/1979|
205188|Backus Corner|Populated Place|02200|U4|||09|CT|1|011|New London|41.5145426|-72.1045222|08/27/2002|
205200|Baileyville|Populated Place|02270|U6|||09|CT|1|007|Middlesex|41.5131535|-72.7245407|09/12/1979|
205209|Bakersville|Populated Place|02340|U6|||09|CT|1|005|Litchfield|41.8320412|-73.0301066|09/12/1979|
205236|Ballouville|Populated Place|02410|U6|0017|090017015|09|CT|1|015|Windham|41.8767649|-71.8611827|09/12/1979|
205240|Baltic|Populated Place|02550|U5|0020|090020011|09|CT|1|011|New London|41.6170428|-72.0845212|09/12/1979|01/29/2011
205245|Bantam|Populated Place|02690|P1|0030|090030005|09|CT|1|005|Litchfield|41.7245409|-73.2362262|09/12/1979|02/27/2008
205321|Bayview|Populated Place|03110|U4|||09|CT|1|009|New Haven|41.2123196|-73.0301052|09/12/1979|
205332|Beacon Falls|Populated Place|03180|U6|0038|090038009|09|CT|1|009|New Haven|41.4428745|-73.062608|09/12/1979|
205383|Beaverbrook|Populated Place|03390|U4|||09|CT|1|001|Fairfield|41.411206|-73.4198433|09/12/1979|
205393|Beckettville|Populated Place|03460|U4|||09|CT|1|001|Fairfield|41.3931504|-73.4726229|09/12/1979|
205400|Bedlam Corner|Populated Place|03495|U6|||09|CT|1|015|Windham|41.7798206|-72.1545215|09/12/1979|
205437|Belle Haven|Populated Place|03670|U6|||09|CT|1|001|Fairfield|41.0089864|-73.6315153|09/12/1979|
205439|Belltown|Populated Place|03810|U4|||09|CT|1|001|Fairfield|41.0770411|-73.528734|09/12/1979|
205451|Berkshire|Populated Place|03950|U6|||09|CT|1|001|Fairfield|41.4087069|-73.2595601|09/12/1979|
205453|Berkshire Estates|Populated Place|04020|U6|||09|CT|1|009|New Haven|41.4425957|-73.2584489|09/12/1979|
205454|Berlin|Populated Place|04230|U6|0046|090046003|09|CT|1|003|Hartford|41.621488|-72.7456519|09/12/1979|
205455|Berlin Station|Locale|04370|U6|||09|CT|1|003|Hartford|41.6350992|-72.7598191|09/12/1979|
205458|Beseck Lake|Populated Place|04405|U6|||09|CT|1|007|Middlesex|41.5187091|-72.7348188|09/12/1979|
205469|Bethany|Populated Place|04510|U6|0049|090049009|09|CT|1|009|New Haven|41.4217637|-72.9970496|09/12/1979|
205475|Bethel|Populated Place|04790|U5|0050|090050001|09|CT|1|001|Fairfield|41.3712063|-73.4140097|09/12/1979|02/27/2008
205478|Bethlehem|Populated Place|04860|U3|0051|090051005|09|CT|1|005|Litchfield|41.6398185|-73.2084471|09/12/1979|02/27/2008
205498|Bigelow Corners|Populated Place|04965|U6|||09|CT|1|001|Fairfield|41.4720385|-73.5045685|09/12/1979|
205513|Birch Groves|Populated Place|05000|U6|||09|CT|1|005|Litchfield|41.5470388|-73.4412331|09/12/1979|
205521|Birchwood|Populated Place|05210|U6|||09|CT|1|003|Hartford|41.8978756|-72.7212048|09/12/1979|
