FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|CENSUS_CODE|CENSUS_CLASS_CODE|GSA_CODE|OPM_CODE|STATE_NUMERIC|STATE_ALPHA|COUNTY_SEQUENCE|COUNTY_NUMERIC|COUNTY_NAME|PRIMARY_LATITUDE|PRIMARY_LONGITUDE|DATE_CREATED|DATE_EDITED
528563|Barnaby Terrace|Populated Place|01600|U4|||11|DC|1|001|District of Columbia|38.8334463|-76.989142|12/18/1979|
528564|Barnaby Woods|Populated Place|02100|U4|||11|DC|1|001|District of Columbia|38.9748326|-77.0596997|12/18/1979|
528567|Benning Heights|Populated Place|04100|U4|||11|DC|1|001|District of Columbia|38.8817789|-76.9360852|12/18/1979|
528571|Brightwood Park|Populated Place|06600|U4|||11|DC|1|001|District of Columbia|38.9570551|-77.0249767|12/18/1979|
528576|Burleith|Populated Place|07600|U4|||11|DC|1|001|District of Columbia|38.9153892|-77.0724777|12/18/1979|
528578|Colonial Village|Populated Place|11600|U4|||11|DC|1|001|District of Columbia|38.9926101|-77.0399771|12/18/1979|
528580|Congress Heights|Populated Place|13100|U4|||11|DC|1|001|District of Columbia|38.8428906|-77.0002535|12/18/1979|
528582|Congress Park|Populated Place|13600|U4|||11|DC|1|001|District of Columbia|38.8412239|-76.9908088|12/18/1979|
528605|Glover Park|Populated Place|21600|U4|||11|DC|1|001|District of Columbia|38.9209446|-77.0772|12/18/1979|
528606|Good Hope|Populated Place|22100|U4|||11|DC|1|001|District of Columbia|38.8626125|-76.9638637|12/18/1979|
528614|Hawthorne|Populated Place|23100|U4|||11|DC|1|001|District of Columbia|38.9803881|-77.0546996|12/18/1979|
528624|Ivy City|Populated Place|24600|U4|||11|DC|1|001|District of Columbia|38.9112227|-76.9846978|12/18/1979|
528630|Kenilworth|Populated Place|26100|U4|||11|DC|1|001|District of Columbia|38.9059451|-76.9402521|12/18/1979|
528631|Kent|Populated Place|26600|U4|||11|DC|1|001|District of Columbia|38.9337221|-77.1035895|12/18/1979|
528641|Manor Park|Populated Place|31100|U4|||11|DC|1|001|District of Columbia|38.9639995|-77.0158099|12/18/1979|
528651|North Gate|Populated Place|34600|U4|||11|DC|1|001|District of Columbia|38.9873324|-77.0352548|12/18/1979|
528660|Potomac Heights|Populated Place|37600|U4|||11|DC|1|001|District of Columbia|38.9276111|-77.1077563|12/18/1979|
528664|River Terrace|Populated Place|38600|U4|||11|DC|1|001|District of Columbia|38.8920564|-76.9574747|12/18/1979|
528690|Trinidad|Populated Place|46600|U4|||11|DC|1|001|District of Columbia|38.9056673|-76.98442|12/18/1979|
528693|Washington Highlands|Populated Place|50500|U4|||11|DC|1|001|District of Columbia|38.8320574|-76.9946977|12/18/1979|
528696|Wesley Heights|Populated Place|52000|U4|||11|DC|1|001|District of Columbia|38.9312222|-77.0880336|12/18/1979|
528939|Garfield Heights|Populated Place|20600|U4|||11|DC|1|001|District of Columbia|38.8556682|-76.9694193|12/18/1979|
528948|Park View|Populated Place|36100|U6|||11|DC|1|001|District of Columbia|38.9320556|-77.0235877|12/18/1979|
529278|Bloomingdale|Populated Place|04200|U4|||11|DC|1|001|District of Columbia|38.9167782|-77.0113652|04/01/1991|
529334|Bellevue|Populated Place|02600|U4|||11|DC|1|001|District of Columbia|38.8267797|-77.0196984|12/18/1979|
529347|Eckington|Populated Place|16100|U4|||11|DC|1|001|District of Columbia|38.9126115|-77.0091428|12/18/1979|
529357|Knox Hill Dwellings|Populated Place|27100|U4|||11|DC|1|001|District of Columbia|38.853446|-76.9669192|12/18/1979|
529384|The Palisades|Populated Place|45600|U4|||11|DC|1|001|District of Columbia|38.9251112|-77.1013673|12/18/1979|
529405|Brightwood|Populated Place|06100|U4|||11|DC|1|001|District of Columbia|38.9612218|-77.0274768|12/18/1979|
529406|Brookland|Populated Place|07100|U4|||11|DC|1|001|District of Columbia|38.932889|-76.9841423|12/18/1979|
529409|Chillum Station|Populated Place|10600|U4|||11|DC|1|001|District of Columbia|38.9556664|-77.0041429|12/18/1979|
529410|Cleveland Park|Populated Place|11100|U4|||11|DC|1|001|District of Columbia|38.9362221|-77.0655331|12/18/1979|
529411|Crestwood|Populated Place|13800|U6|||11|DC|1|001|District of Columbia|38.9417777|-77.0405325|12/18/1979|
529415|Greenway|Populated Place|22600|U4|||11|DC|1|001|District of Columbia|38.8876121|-76.9546968|12/18/1979|
529417|Lamond Riggs|Populated Place|27600|U4|||11|DC|1|001|District of Columbia|38.9664995|-77.0074764|12/18/1979|
529419|Marshall Heights|Populated Place|31450|U6|||11|DC|1|001|District of Columbia|38.8862233|-76.9280294|12/18/1979|
529423|Naylor Gardens|Populated Place|33600|U4|||11|DC|1|001|District of Columbia|38.8567793|-76.9666414|12/18/1979|
529424|Petworth|Populated Place|36600|U4|||11|DC|1|001|District of Columbia|38.9459442|-77.0249767|12/18/1979|
529430|Spring Valley|Populated Place|42600|U4|||11|DC|1|001|District of Columbia|38.9395553|-77.0988672|12/18/1979|
529431|Twining|Populated Place|48600|U4|||11|DC|1|001|District of Columbia|38.8717791|-76.9658082|12/18/1979|
529433|Woodley Park|Populated Place|53000|U4|||11|DC|1|001|District of Columbia|38.9287223|-77.0558107|12/18/1979|
529434|Woodridge|Populated Place|54000|U4|||11|DC|1|001|District of Columbia|38.9312224|-76.9710864|12/18/1979|
