FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|CENSUS_CODE|CENSUS_CLASS_CODE|GSA_CODE|OPM_CODE|STATE_NUMERIC|STATE_ALPHA|COUNTY_SEQUENCE|COUNTY_NUMERIC|COUNTY_NAME|PRIMARY_LATITUDE|PRIMARY_LONGITUDE|DATE_CREATED|DATE_EDITED
1390657|Baqanimaqut|Populated Place|05750|U6|||64|FM|1|060|Yap|9.5044444|138.1141667|07/02/1984|11/01/2017
1390658|Bechyal|Populated Place|05800|U6|||64|FM|1|060|Yap|9.6102778|138.1738889|07/02/1984|
1390659|Beenik|Populated Place|05850|U6|||64|FM|1|060|Yap|9.4991667|138.12|07/02/1984|
1390671|Bileeyibuw|Populated Place|06625|U6|||64|FM|1|060|Yap|9.5238889|138.1494444|07/02/1984|
1390675|Binaew|Populated Place|06875|U6|||64|FM|1|060|Yap|9.5297222|138.0922222|07/02/1984|
1390676|Binaew|Populated Place|06875|U6|||64|FM|1|060|Yap|9.5397222|138.1863889|07/02/1984|
1390681|Bugol|Populated Place|07120|U6|||64|FM|1|060|Yap|9.5147222|138.1619444|07/02/1984|
1390685|Bulwol|Populated Place|07160|U6|||64|FM|1|060|Yap|9.63|138.1525|07/02/1984|
1390686|Bunuknuk|Populated Place|07200|U6|||64|FM|1|060|Yap|9.5688889|138.1238889|07/02/1984|
1390692|Choqol|Populated Place|07320|U6|||64|FM|1|060|Yap|9.5886111|138.1844444|07/02/1984|
1390694|Colonia|Populated Place|07500|U6|||64|FM|1|060|Yap|9.5144444|138.1294444|07/02/1984|
1390695|Daabaab|Populated Place|07625|U6|||64|FM|1|060|Yap|9.5436111|138.1366667|07/02/1984|
1390696|Daabach|Populated Place|07750|U6|||64|FM|1|060|Yap|9.5383333|138.1497222|07/02/1984|
1390704|Dachangar|Populated Place|07875|U6|||64|FM|1|060|Yap|9.5144444|138.1122222|07/02/1984|
1390714|Darachaq|Populated Place|08040|U6|||64|FM|1|060|Yap|9.5333333|138.1822222|07/02/1984|
1390716|Dariikaan|Populated Place|08060|U6|||64|FM|1|060|Yap|9.4913889|138.0783333|07/02/1984|
1390719|Deafqorean|Populated Place|08080|U6|||64|FM|1|060|Yap|9.5147222|138.1680556|07/02/1984|
1390720|Dechumur|Populated Place|08100|U6|||64|FM|1|060|Yap|9.5169444|138.1669444|07/02/1984|
1390723|Derraak|Populated Place|08220|U6|||64|FM|1|060|Yap|9.5447222|138.1972222|07/02/1984|
1390725|Dilaeg|Populated Place|08340|U6|||64|FM|1|060|Yap|9.5227778|138.1661111|07/02/1984|
