FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|CENSUS_CODE|CENSUS_CLASS_CODE|GSA_CODE|OPM_CODE|STATE_NUMERIC|STATE_ALPHA|COUNTY_SEQUENCE|COUNTY_NUMERIC|COUNTY_NAME|PRIMARY_LATITUDE|PRIMARY_LONGITUDE|DATE_CREATED|DATE_EDITED
310381|Acree|Populated Place|00380|U6|||13|GA|1|095|Dougherty|31.5554539|-83.9960153|09/25/1979|
310389|Adairsville|Populated Place|00436|P1|0030|130030015|13|GA|1|015|Bartow|34.3687021|-84.9341093|09/25/1979|03/20/2008
310411|Adrian|Populated Place|00660|P1|0050|130050107|13|GA|1|107|Emanuel|32.5307224|-82.5892995|09/25/1979|03/20/2008
310411|Adrian|Populated Place|00660|P1|0050|130050167|13|GA|2|167|Johnson|32.5307224|-82.5892995|09/25/1979|03/20/2008
310413|Ailey|Populated Place|00828|P1|0060|130060209|13|GA|1|209|Montgomery|32.1874042|-82.5656886|09/25/1979|03/20/2008
310424|Albany|Populated Place|01052|P1|0090|130090095|13|GA|1|095|Dougherty|31.5785074|-84.155741|09/25/1979|03/20/2008
310431|Alexander|Populated Place|01276|U6|0102|130102033|13|GA|1|033|Burke|33.0220988|-81.8767822|09/25/1979|
310462|Allenhurst|Populated Place|01472|P1|0105|130105179|13|GA|1|179|Liberty|31.7841014|-81.6076117|09/25/1979|03/20/2008
310468|Allentown|Populated Place|01500|P1|0108|130108289|13|GA|1|289|Twiggs|32.5932119|-83.2257127|09/25/1979|03/20/2008
310468|Allentown|Populated Place|01500|P1|0108|130108319|13|GA|2|319|Wilkinson|32.5932119|-83.2257127|09/25/1979|03/20/2008
310469|Allenville|Populated Place|01528|U6|||13|GA|1|019|Berrien|31.1290881|-83.2140419|09/25/1979|
310492|Alma|Populated Place|01612|P1|0110|130110005|13|GA|1|005|Bacon|31.5393701|-82.4623557|09/25/1979|03/20/2008
310495|Almon|Populated Place|01668|U6|||13|GA|1|217|Newton|33.6192798|-83.92213|09/25/1979|
310497|Alpharetta|Populated Place|01696|P1|0120|130120121|13|GA|1|121|Fulton|34.0753762|-84.2940899|09/25/1979|03/20/2008
310508|Ambrose|Populated Place|02060|P1|0168|130168069|13|GA|1|069|Coffee|31.5938031|-83.0143147|09/25/1979|03/20/2008
310522|Anderson City|Populated Place|02228|U6|||13|GA|1|321|Worth|31.3715708|-83.8546212|09/25/1979|
310533|Andersonville|Populated Place|02250|U6|||13|GA|1|057|Cherokee|34.1295421|-84.4974302|09/25/1979|
310549|Antioch|Populated Place|02424|U6|||13|GA|1|285|Troup|33.107622|-85.1699424|09/25/1979|
310606|Arco|Populated Place|02732|U6|||13|GA|1|127|Glynn|31.2013406|-81.5062129|09/25/1979|
310608|Arcola|Populated Place|02760|U6|||13|GA|1|031|Bulloch|32.3435229|-81.6020546|09/25/1979|
310614|Arlington|Populated Place|02928|P1|0240|130240037|13|GA|1|037|Calhoun|31.4398976|-84.7249188|09/25/1979|03/20/2008
310614|Arlington|Populated Place|02928|P1|0240|130240099|13|GA|2|099|Early|31.4398976|-84.7249188|09/25/1979|03/20/2008
310617|Armboy|Populated Place|02963|U6|||13|GA|1|287|Turner|31.7924015|-83.5873883|09/25/1979|
