FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|CENSUS_CODE|CENSUS_CLASS_CODE|GSA_CODE|OPM_CODE|STATE_NUMERIC|STATE_ALPHA|COUNTY_SEQUENCE|COUNTY_NUMERIC|COUNTY_NAME|PRIMARY_LATITUDE|PRIMARY_LONGITUDE|DATE_CREATED|DATE_EDITED
358337|Mānā|Populated Place|49250|U6|||15|HI|1|007|Kauai|22.0358296|-159.76941|09/30/2003|10/03/2012
358376|Waimea District|Civil|78820|F1|||15|HI|1|007|Kauai|22.0716667|-159.6344444|09/30/2003|01/28/2011
358445|ʻĀhuimanu|Populated Place|00400|U3|||15|HI|1|003|Honolulu|21.4447222|-157.8377778|09/30/2003|04/21/2008
358456|ʻAiea|Populated Place|00550|U3|0100|150100003|15|HI|1|003|Honolulu|21.3822222|-157.9336111|09/30/2003|04/21/2008
358459|ʻAiea Heights|Populated Place|00700|U6|||15|HI|1|003|Honolulu|21.387549|-157.9190683|09/30/2003|10/06/2012
358472|ʻĀina Haina|Populated Place|00865|U6|||15|HI|1|003|Honolulu|21.2819444|-157.7525|09/30/2003|
358484|Airport Village (historical)|Populated Place|01125|U6|||15|HI|1|009|Maui|20.8206292|-156.4509988|02/06/1981|10/06/2012
358496|Akupu|Populated Place|01225|U6|||15|HI|1|003|Honolulu|21.3909455|-158.100096|02/06/1981|10/06/2012
358503|Alabama Village (historical)|Populated Place|01300|U6|||15|HI|1|009|Maui|20.8633834|-156.4499474|02/06/1981|10/06/2012
358553|ʻĀlewa Heights|Populated Place|01750|U6|||15|HI|1|003|Honolulu|21.3405085|-157.8481722|09/30/2003|10/06/2012
358560|Āliamanu|Populated Place|01900|U6|||15|HI|1|003|Honolulu|21.3524999|-157.9216862|09/30/2003|10/06/2012
358587|Anahola|Populated Place|02200|U5|0200|150200007|15|HI|1|007|Kauai|22.1422622|-159.3138837|02/06/1981|09/23/2009
358717|Captain Cook|Populated Place|03850|U5|0300|150300001|15|HI|1|001|Hawaii|19.4969444|-155.9216667|02/06/1981|04/21/2008
358737|Cod Fish Village (historical)|Populated Place|05200|U6|||15|HI|1|009|Maui|20.8936169|-156.4147139|02/06/1981|10/06/2012
358746|Crater Village|Populated Place|05725|U6|||15|HI|1|009|Maui|20.8972603|-156.6627243|02/06/1981|10/06/2012
358747|Crestview|Populated Place|05800|U6|||15|HI|1|003|Honolulu|21.4072479|-157.9947281|02/06/1981|10/04/2012
358767|ʻEwa Beach|Populated Place|07450|U3|0501|150501003|15|HI|1|003|Honolulu|21.3155556|-158.0072222|09/30/2003|04/21/2008
358794|ʻEleʻele|Populated Place|07000|U5|0400|150400007|15|HI|1|007|Kauai|21.907384|-159.5832233|02/06/1981|08/01/2012
358800|Elevenmile Homestead|Populated Place|07150|U6|||15|HI|1|001|Hawaii|19.6037411|-155.0714636|02/06/1981|10/04/2012
358806|ʻEwa|Populated Place|07300|U6|||15|HI|1|003|Honolulu|21.3407283|-158.0397248|09/30/2003|10/04/2012
358815|Fernandez Village|Populated Place|07600|U6|||15|HI|1|003|Honolulu|21.3478233|-158.0306053|02/06/1981|10/04/2012
358825|Foster Village|Populated Place|08500|U6|||15|HI|1|003|Honolulu|21.363571|-157.9250979|02/06/1981|10/04/2012
358827|Glenwood|Populated Place|08650|U6|||15|HI|1|001|Hawaii|19.4878132|-155.1513612|02/06/1981|10/04/2012
358858|Haʻikū|Populated Place|09250|U3|0600|150600009|15|HI|1|009|Maui|20.9154662|-156.3218451|02/06/1981|10/04/2012
358872|Haina|Populated Place|09400|U6|0700|150700001|15|HI|1|001|Hawaii|20.0907174|-155.4672289|02/06/1981|10/04/2012
358879|Hakalau|Populated Place|09550|U6|0800|150800001|15|HI|1|001|Hawaii|19.8970587|-155.1263523|09/30/2003|10/04/2012
358902|Halaʻula|Populated Place|09700|U5|0900|150900001|15|HI|1|001|Hawaii|20.2280205|-155.7820325|02/06/1981|10/04/2012
358907|Halawa|Populated Place|09850|U6|||15|HI|1|001|Hawaii|20.2231806|-155.7655764|02/06/1981|10/04/2012
358908|Hālawa|Populated Place|10030|U6|||15|HI|1|009|Maui|21.1566786|-156.7395401|09/30/2003|10/04/2012
358914|Hālawa Heights|Populated Place|10150|U6|0910|150910003|15|HI|1|003|Honolulu|21.3784778|-157.9138756|09/30/2003|10/04/2012
358941|Haleʻiwa|Populated Place|10750|U3|1000|151000003|15|HI|1|003|Honolulu|21.588489|-158.1105137|09/30/2003|10/04/2012
358966|Hālena|Populated Place|10855|U6|||15|HI|1|009|Maui|21.0889847|-157.230792|09/30/2003|10/04/2012
358989|Hāliʻimaile|Populated Place|10900|U5|1030|151030009|15|HI|1|009|Maui|20.8702005|-156.3371668|02/06/1981|11/01/2012
359008|Hāmākuapoko (historical)|Populated Place|11050|U6|||15|HI|1|009|Maui|20.9161277|-156.3460279|02/06/1981|10/04/2012
359013|Hāna|Populated Place|11350|U3|1200|151200009|15|HI|1|009|Maui|20.7580556|-155.9902778|09/30/2003|04/21/2008
359039|Hanalei|Populated Place|11500|U5|1300|151300007|15|HI|1|007|Kauai|22.2016937|-159.5031218|02/06/1981|09/23/2009
359050|Hanamāʻulu|Populated Place|11650|U5|1400|151400007|15|HI|1|007|Kauai|21.9931858|-159.3541591|02/06/1981|11/01/2011
359057|Hanapēpē Hawaiian Home Land|Civil|5011T|F1|1500|151500007|15|HI|1|007|Kauai|21.9158322|-159.5957765|01/01/2000|12/01/2016
359058|Hanapēpē|Populated Place|11800|U3|1500|151500007|15|HI|1|007|Kauai|21.9073347|-159.5943975|02/06/1981|10/04/2012
359060|Hanapēpē Heights|Populated Place|11950|U6|||15|HI|1|007|Kauai|21.9163293|-159.5899502|02/06/1981|08/20/2012
359084|Hāʻōʻū|Populated Place|12100|U6|||15|HI|1|009|Maui|20.6934981|-156.0037136|09/30/2003|10/04/2012
359087|Happy Valley|Populated Place|12250|U6|||15|HI|1|009|Maui|20.8912113|-156.5080762|02/06/1981|10/04/2012
359116|Hauʻula|Populated Place|12400|U3|1600|151600003|15|HI|1|003|Honolulu|21.6076022|-157.9086828|09/30/2003|10/04/2012
359122|Hawaiʻi Kai|Populated Place|13150|U6|||15|HI|1|003|Honolulu|21.2781776|-157.7008009|09/30/2003|10/04/2012
359129|Hawaiian Village (historical)|Populated Place|13000|U6|||15|HI|1|009|Maui|20.9031187|-156.414113|02/06/1981|10/04/2012
