FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|CENSUS_CODE|CENSUS_CLASS_CODE|GSA_CODE|OPM_CODE|STATE_NUMERIC|STATE_ALPHA|COUNTY_SEQUENCE|COUNTY_NUMERIC|COUNTY_NAME|PRIMARY_LATITUDE|PRIMARY_LONGITUDE|DATE_CREATED|DATE_EDITED
454078|Abingdon|Populated Place|00145|U6|||19|IA|1|101|Jefferson|41.0822387|-92.1390672|04/30/1979|
454084|Ackley|Populated Place|00190|P1|0010|190010083|19|IA|1|083|Hardin|42.5541451|-93.0532553|04/30/1979|03/20/2008
454084|Ackley|Populated Place|00190|P1|0010|190010069|19|IA|2|069|Franklin|42.5541451|-93.0532553|04/30/1979|03/20/2008
454086|Ackworth|Populated Place|00235|P1|0020|190020181|19|IA|1|181|Warren|41.3669373|-93.4727131|04/30/1979|03/20/2008
454088|Adair|Populated Place|00370|P1|0030|190030077|19|IA|1|077|Guthrie|41.5005428|-94.6435862|04/30/1979|03/20/2008
454096|Adaza|Populated Place|00460|U6|||19|IA|1|073|Greene|42.1952593|-94.4944178|04/30/1979|
454097|Adel|Populated Place|00505|P1|0040|190040049|19|IA|1|049|Dallas|41.6144325|-94.017453|04/30/1979|03/20/2008
454101|Afton|Populated Place|00595|P1|0050|190050175|19|IA|1|175|Union|41.0274907|-94.1980083|04/30/1979|03/20/2008
454105|Agency|Populated Place|00640|P1|0060|190060179|19|IA|1|179|Wapello|40.9950162|-92.3068492|01/01/2000|03/20/2008
454107|Ainsworth|Populated Place|00730|P1|0070|190070183|19|IA|1|183|Washington|41.2889098|-91.5523838|04/30/1979|03/20/2008
454109|Akron|Populated Place|00775|P1|0080|190080149|19|IA|1|149|Plymouth|42.8288818|-96.5594773|04/30/1979|03/20/2008
454111|Albany|Populated Place|00835|U6|||19|IA|1|065|Fayette|42.8658141|-91.7587713|04/30/1979|
454112|Albaton|Populated Place|00850|U6|||19|IA|1|133|Monona|42.1855464|-96.2908592|04/30/1979|
454113|Albert City|Populated Place|00865|P1|0090|190090021|19|IA|1|021|Buena Vista|42.7819199|-94.9485993|04/30/1979|03/20/2008
454114|Albia|Populated Place|00910|P1|0100|190100135|19|IA|1|135|Monroe|41.0266746|-92.8057514|04/30/1979|03/20/2008
454115|Albion|Populated Place|00955|P1|0110|190110127|19|IA|1|127|Marshall|42.1124866|-92.9885339|04/30/1979|03/20/2008
454117|Alburnett|Populated Place|01000|P1|0120|190120113|19|IA|1|113|Linn|42.1483285|-91.6185065|04/30/1979|03/20/2008
454120|Alden|Populated Place|01045|P1|0130|190130083|19|IA|1|083|Hardin|42.5202571|-93.3760389|04/30/1979|03/20/2008
454123|Alexander|Populated Place|01090|P1|0140|190140069|19|IA|1|069|Franklin|42.8058039|-93.4765943|04/30/1979|03/20/2008
454126|Algona|Populated Place|01135|P1|0150|190150109|19|IA|1|109|Kossuth|43.0699663|-94.233019|04/30/1979|12/12/2014
454132|Alleman|Populated Place|01180|P1|0157|190157153|19|IA|1|153|Polk|41.8199875|-93.611607|01/01/2000|03/20/2008
454138|Allendorf|Populated Place|01225|U6|||19|IA|1|143|Osceola|43.4146902|-95.6433454|04/30/1979|
454140|Allerton|Populated Place|01270|P1|0160|190160185|19|IA|1|185|Wayne|40.7063954|-93.3652135|04/30/1979|03/20/2008
454143|Allison|Populated Place|01315|P1|0170|190170023|19|IA|1|023|Butler|42.7527548|-92.7951945|04/30/1979|03/20/2008
454149|Alpha|Populated Place|01450|U6|||19|IA|1|065|Fayette|42.9966431|-92.0476715|04/30/1979|
454152|Alta|Populated Place|01495|P1|0180|190180021|19|IA|1|021|Buena Vista|42.6735921|-95.290554|04/30/1979|03/20/2008
454153|Alta Vista|Populated Place|01540|P1|0190|190190037|19|IA|1|037|Chickasaw|43.1985819|-92.4171216|04/30/1979|03/20/2008
454157|Alton|Populated Place|01585|P1|0200|190200167|19|IA|1|167|Sioux|42.9874869|-96.0105735|04/30/1979|03/20/2008
454160|Altoona|Populated Place|01630|P1|0210|190210153|19|IA|1|153|Polk|41.6441557|-93.4646571|04/30/1979|03/20/2008
454161|Alvord|Populated Place|01675|P1|0220|190220119|19|IA|1|119|Lyon|43.3421993|-96.3011403|04/30/1979|03/20/2008
454162|Amana|Populated Place|01720|U5|0225|190225095|19|IA|1|095|Iowa|41.8000071|-91.8707335|04/30/1979|01/29/2011
454164|Amber|Populated Place|01765|U6|||19|IA|1|105|Jones|42.1280617|-91.1801535|04/30/1979|
454167|Ames|Populated Place|01855|P1|0230|190230169|19|IA|1|169|Story|42.0347081|-93.6199402|04/30/1979|12/06/2013
454170|Amish|Populated Place|01900|U6|||19|IA|1|103|Johnson|41.5358477|-91.7865601|04/30/1979|
454176|Anamosa|Populated Place|01990|P1|0240|190240105|19|IA|1|105|Jones|42.1083371|-91.2851594|04/30/1979|12/12/2014
454177|Anderson|Populated Place|02035|U5|||19|IA|1|071|Fremont|40.8013888|-95.6041625|04/30/1979|01/29/2011
454184|Andover|Populated Place|02080|P1|0250|190250045|19|IA|1|045|Clinton|41.9791933|-90.2517961|04/30/1979|03/20/2008
454187|Andrew|Populated Place|02125|P1|0260|190260097|19|IA|1|097|Jackson|42.1536292|-90.5923542|04/30/1979|03/20/2008
454191|Angus|Populated Place|02215|U6|||19|IA|1|015|Boone|41.8833178|-94.1574595|04/30/1979|
454192|Anita|Populated Place|02260|P1|0270|190270029|19|IA|1|029|Cass|41.445265|-94.7647015|04/30/1979|03/20/2008
454194|Ankeny|Populated Place|02305|P1|0280|190280153|19|IA|1|153|Polk|41.7297102|-93.6057734|04/30/1979|03/20/2008
