FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|CENSUS_CODE|CENSUS_CLASS_CODE|GSA_CODE|OPM_CODE|STATE_NUMERIC|STATE_ALPHA|COUNTY_SEQUENCE|COUNTY_NUMERIC|COUNTY_NAME|PRIMARY_LATITUDE|PRIMARY_LONGITUDE|DATE_CREATED|DATE_EDITED
371406|Bear Lake Sands|Populated Place|05920|U6|||16|ID|1|007|Bear Lake|42.0516003|-111.2535342|06/21/1979|
371602|Bliss|Populated Place|08470|P1|0140|160140047|16|ID|1|047|Gooding|42.9268461|-114.9495057|06/21/1979|03/21/2008
371910|Castleford|Populated Place|13240|P1|0233|160233083|16|ID|1|083|Twin Falls|42.520739|-114.8683872|06/21/1979|03/21/2008
371974|Chatcolet|Populated Place|13870|U6|0250|160250009|16|ID|1|009|Benewah|47.3721273|-116.7635078|06/21/1979|01/25/2011
371984|Chester|Populated Place|14320|U6|0251|160251043|16|ID|1|043|Fremont|43.9993571|-111.5699589|06/21/1979|
372052|Clearwater|Populated Place|15670|U6|0283|160283049|16|ID|1|049|Idaho|46.0223931|-115.8909742|06/21/1979|12/06/2013
372096|Coltman|Populated Place|17470|U6|||16|ID|1|019|Bonneville|43.6176899|-112.0121929|06/21/1979|
372152|Cottonwood|Populated Place|18640|P1|0310|160310049|16|ID|1|049|Idaho|46.0484923|-116.3495898|06/21/1979|03/21/2008
372314|Darlington|Populated Place|20530|U6|0356|160356023|16|ID|1|023|Butte|43.8135138|-113.4147348|06/21/1979|
372497|Dubois|Populated Place|22960|P1|0430|160430033|16|ID|1|033|Clark|44.1762984|-112.2308197|06/21/1979|03/21/2008
372646|Fairview|Populated Place|26470|U6|0500|160500041|16|ID|1|041|Franklin|42.013259|-111.8766162|06/21/1979|
372658|Falls City|Populated Place|26830|U6|||16|ID|1|053|Jerome|42.680464|-114.4242047|06/21/1979|
372747|Forest|Populated Place|28250|U6|||16|ID|1|061|Lewis|46.1479373|-116.6576451|06/21/1979|
372775|Franklin|Populated Place|28810|P1|0540|160540041|16|ID|1|041|Franklin|42.0135375|-111.8071694|06/21/1979|03/21/2008
372829|Genesee|Populated Place|30160|P1|0580|160580057|16|ID|1|057|Latah|46.5507205|-116.9254357|06/21/1979|03/21/2008
372857|Glenns Ferry|Populated Place|31690|P1|0600|160600039|16|ID|1|039|Elmore|42.9548989|-115.3009037|06/21/1979|12/06/2013
372888|Goshen|Populated Place|32320|U6|||16|ID|1|011|Bingham|43.3096385|-112.083304|06/21/1979|
372892|Grand View|Populated Place|32770|P1|0622|160622073|16|ID|1|073|Owyhee|42.9896139|-116.0934305|06/21/1979|03/21/2008
372901|Grant|Populated Place|33130|U6|||16|ID|1|051|Jefferson|43.640745|-112.0133041|06/21/1979|
372923|Greencreek|Populated Place|33400|U6|0632|160632049|16|ID|1|049|Idaho|46.1071074|-116.2643108|06/21/1979|
372957|Hagerman|Populated Place|34300|P1|0640|160640047|16|ID|1|047|Gooding|42.8121244|-114.898669|06/21/1979|03/21/2008
372973|Hammett|Populated Place|34750|U6|0656|160656039|16|ID|1|039|Elmore|42.9457307|-115.4661859|06/21/1979|
373007|Hatwai|Populated Place|35650|U6|||16|ID|1|069|Nez Perce|46.4362739|-116.9682115|06/21/1979|
373194|Hydra|Populated Place|39430|U6|||16|ID|1|053|Jerome|42.6993515|-114.5189308|06/21/1979|
373204|Idmon|Populated Place|39970|U6|||16|ID|1|033|Clark|44.3607464|-111.9116406|06/21/1979|
373244|Indian Valley|Populated Place|40240|U6|0796|160796003|16|ID|1|003|Adams|44.5571091|-116.4340347|06/21/1979|
373397|Keogh|Populated Place|42985|U6|||16|ID|1|031|Cassia|42.2232479|-113.3336107|06/21/1979|
373403|Keuterville|Populated Place|43120|U6|0882|160882049|16|ID|1|049|Idaho|46.0340459|-116.4415348|06/21/1979|
373582|Lincoln|Populated Place|47080|U5|0975|160975019|16|ID|1|019|Bonneville|43.5129694|-111.9644136|06/21/1979|01/29/2011
373932|Middleton|Populated Place|52660|P1|1080|161080027|16|ID|1|027|Canyon|43.7068282|-116.6201357|06/21/1979|03/21/2008
374044|Mountain Home|Populated Place|54730|P1|1150|161150039|16|ID|1|039|Elmore|43.1329504|-115.6911975|06/21/1979|03/21/2008
374082|Murphy|Populated Place|55720|U5|1187|161187073|16|ID|1|073|Owyhee|43.2182182|-116.5523414|06/21/1979|01/29/2011
374087|Murtaugh|Populated Place|55900|P1|1190|161190083|16|ID|1|083|Twin Falls|42.492414|-114.1622508|06/21/1979|03/21/2008
374109|Neeley|Populated Place|56440|U6|||16|ID|1|077|Power|42.7335225|-112.9149944|06/21/1979|
374434|Plano|Populated Place|63640|U6|||16|ID|1|065|Madison|43.8910218|-111.8916361|06/21/1979|
374457|Plummer|Populated Place|63910|P1|1420|161420009|16|ID|1|009|Benewah|47.3351803|-116.8885094|06/21/1979|03/21/2008
374535|Prichard|Populated Place|65350|U6|1497|161497079|16|ID|1|079|Shoshone|47.6563136|-115.9762792|06/21/1979|
374648|Rexburg|Populated Place|67420|P1|1520|161520065|16|ID|1|065|Madison|43.8260227|-111.7896876|06/21/1979|03/21/2008
374693|Riverside|Populated Place|68230|U5|||16|ID|1|011|Bingham|43.1968591|-112.4352579|06/21/1979|01/29/2011
