FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|CENSUS_CODE|CENSUS_CLASS_CODE|GSA_CODE|OPM_CODE|STATE_NUMERIC|STATE_ALPHA|COUNTY_SEQUENCE|COUNTY_NUMERIC|COUNTY_NAME|PRIMARY_LATITUDE|PRIMARY_LONGITUDE|DATE_CREATED|DATE_EDITED
469029|Silverdale|Populated Place|65550|U6|||20|KS|1|035|Cowley|37.0419749|-96.9033673|10/13/1978|
469060|Township of Pleasant Valley|Civil|56500|T1|||20|KS|1|035|Cowley|37.1595051|-96.981837|10/13/1978|01/27/2013
469066|Township of Cedar|Civil|11250|T1|||20|KS|1|035|Cowley|37.0538551|-96.5877486|10/13/1978|01/27/2013
469069|Township of Grant|Civil|27550|T1|||20|KS|1|035|Cowley|37.0628104|-96.6868982|10/13/1978|01/26/2013
469088|Township of Silverdale|Civil|65575|T1|||20|KS|1|035|Cowley|37.0634645|-96.8769895|10/13/1978|01/27/2013
469099|Cedar Vale|Populated Place|11450|P1|0850|200850019|20|KS|1|019|Chautauqua|37.1042039|-96.5000112|10/13/1978|03/20/2008
469108|Township of Harrison|Civil|30275|T9|||20|KS|1|019|Chautauqua|37.049074|-96.4536356|10/13/1978|01/28/2013
469109|Township of Jefferson|Civil|35125|T9|||20|KS|1|019|Chautauqua|37.149882|-96.4530667|10/13/1978|01/26/2013
469124|Elgin|Populated Place|20125|P1|1550|201550019|20|KS|1|019|Chautauqua|37.0044964|-96.2766608|10/13/1978|03/20/2008
469130|Township of Summit|Civil|69025|T9|||20|KS|1|019|Chautauqua|37.1491106|-96.3084163|10/13/1978|01/27/2013
469131|Township of Hendricks|Civil|31300|T9|||20|KS|1|019|Chautauqua|37.0487694|-96.3085845|10/13/1978|01/26/2013
469132|Township of Washington|Civil|75550|T9|||20|KS|1|019|Chautauqua|37.1490236|-96.026207|10/13/1978|01/27/2013
469137|Township of Little Caney|Civil|41525|T1|||20|KS|1|019|Chautauqua|37.0463786|-96.0255782|10/13/1978|01/28/2013
469138|Peru|Populated Place|55525|P1|4440|204440019|20|KS|1|019|Chautauqua|37.0886713|-96.0947095|10/13/1978|03/20/2008
469139|Niotaze|Populated Place|50750|P1|4020|204020019|20|KS|1|019|Chautauqua|37.0736771|-96.0135947|10/13/1978|03/20/2008
469151|Sedan|Populated Place|63750|P1|5000|205000019|20|KS|1|019|Chautauqua|37.1267196|-96.1869361|10/13/1978|03/20/2008
469154|Township of Sedan|Civil|63775|T9|||20|KS|1|019|Chautauqua|37.1457577|-96.1682437|10/13/1978|01/26/2013
469157|Chautauqua|Populated Place|12675|P1|0900|200900019|20|KS|1|019|Chautauqua|37.0203354|-96.1766559|10/13/1978|03/20/2008
469166|Angola|Populated Place|01850|U6|||20|KS|1|099|Labette|37.1056293|-95.4494197|10/13/1978|
469169|Valeda|Populated Place|72700|U6|||20|KS|1|099|Labette|37.0472988|-95.4474746|10/13/1978|
469171|Township of Mount Pleasant|Civil|48950|T1|||20|KS|1|099|Labette|37.1637328|-95.3220546|10/13/1978|01/24/2013
469175|Township of Elm Grove|Civil|20750|T1|||20|KS|1|099|Labette|37.0598674|-95.3227589|10/13/1978|01/26/2013
469184|Township of Cherokee|Civil|12850|T1|||20|KS|1|125|Montgomery|37.0634197|-95.5642465|10/13/1978|01/27/2013
469195|Township of Canada|Civil|10325|T1|||20|KS|1|099|Labette|37.1130792|-95.4498658|10/13/1978|01/25/2013
469197|Township of Howard|Civil|33300|T1|||20|KS|1|099|Labette|37.0380345|-95.4499725|10/13/1978|01/28/2013
469202|Township of Parker|Civil|54525|T1|||20|KS|1|125|Montgomery|37.0909033|-95.6563305|10/13/1978|01/27/2013
469206|West Coffeyville|Populated Place|76850|U6|||20|KS|1|125|Montgomery|37.0389671|-95.6699781|10/13/1978|
469211|Dearing|Populated Place|17150|P1|1270|201270125|20|KS|1|125|Montgomery|37.0586882|-95.713312|10/13/1978|03/20/2008
469229|Township of Liberty|Civil|40275|T1|||20|KS|1|125|Montgomery|37.1600535|-95.5997901|10/13/1978|01/27/2013
469230|Coffeyville|Populated Place|14600|P1|1050|201050125|20|KS|1|125|Montgomery|37.0373005|-95.6163665|10/13/1978|03/20/2008
469235|Tyro|Populated Place|71925|P1|5470|205470125|20|KS|1|125|Montgomery|37.0378531|-95.8213686|10/13/1978|03/20/2008
469237|Township of Fawn Creek|Civil|23325|T1|||20|KS|1|125|Montgomery|37.061616|-95.7471391|10/13/1978|01/26/2013
469241|Jefferson|Populated Place|35275|U6|||20|KS|1|125|Montgomery|37.1122964|-95.7613684|10/13/1978|
