FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|CENSUS_CODE|CENSUS_CLASS_CODE|GSA_CODE|OPM_CODE|STATE_NUMERIC|STATE_ALPHA|COUNTY_SEQUENCE|COUNTY_NUMERIC|COUNTY_NAME|PRIMARY_LATITUDE|PRIMARY_LONGITUDE|DATE_CREATED|DATE_EDITED
767917|Lustre|Populated Place|46075|U6|0759|300759105|30|MT|1|105|Valley|48.3933561|-105.8822326|01/01/2000|
767918|Weldon|Populated Place|78850|U6|||30|MT|1|055|McCone|47.612507|-105.8922341|01/01/2000|
767920|Webster|Populated Place|78625|U6|||30|MT|1|025|Fallon|46.0550009|-104.2471632|01/01/2000|
767921|Volt|Populated Place|77350|U6|||30|MT|1|085|Roosevelt|48.3883555|-105.7188926|01/01/2000|
767925|Morgan|Populated Place|51775|U6|0845|300845071|30|MT|1|071|Phillips|48.9933527|-107.8323167|01/01/2000|
767926|Larslan|Populated Place|42550|U6|0697|300697105|30|MT|1|105|Valley|48.5783589|-106.1939107|01/01/2000|
767927|Inverness|Populated Place|38725|U5|0643|300643041|30|MT|1|041|Hill|48.5566569|-110.6841232|01/01/2000|03/21/2008
767930|Garland|Populated Place|30025|U6|||30|MT|1|017|Custer|46.0483349|-105.9305548|01/01/2000|
767931|Eagleton|Populated Place|22675|U6|||30|MT|1|015|Chouteau|47.9449809|-109.7824174|01/01/2000|
767936|Rocky Boy's Reservation|Civil|3205R|D1|||30|MT|1|041|Hill|48.2705635|-109.8239446|01/01/2000|12/01/2016
767936|Rocky Boy's Reservation|Civil|3205R|D1|||30|MT|2|015|Chouteau|48.2705635|-109.8239446|01/01/2000|12/01/2016
767938|Fort Belknap Reservation|Civil|1150R|D1|||30|MT|1|005|Blaine|48.1995105|-108.6270106|01/01/2000|12/01/2016
767938|Fort Belknap Reservation|Civil|1150R|D1|||30|MT|2|071|Phillips|48.1995105|-108.6270106|01/01/2000|12/01/2016
768010|Billings Heights|Populated Place|06625|U4|||30|MT|1|111|Yellowstone|45.8332867|-108.4590228|07/01/1989|
768107|Aberdeen|Populated Place|00100|U6|0001|300001003|30|MT|1|003|Big Horn|45.0544117|-107.3570324|04/04/1980|
768110|Accola|Populated Place|00290|U6|||30|MT|1|031|Gallatin|45.9496508|-111.1852316|04/04/1980|
768124|Adel|Populated Place|00475|U6|||30|MT|1|013|Cascade|47.0277236|-111.6238645|04/04/1980|
768131|Agency|Populated Place|00625|U6|||30|MT|1|089|Sanders|47.3279854|-114.2934517|04/04/1980|
768140|Ahles|Populated Place|00660|U6|||30|MT|1|087|Rosebud|46.4788772|-107.1645098|04/04/1980|
768211|Allentown|Populated Place|01110|U6|||30|MT|1|047|Lake|47.4404882|-114.0965|04/04/1980|
768230|Amherst|Populated Place|01450|U6|||30|MT|1|027|Fergus|47.1496963|-109.6249101|04/04/1980|
768232|Amsterdam|Populated Place|01525|U5|||30|MT|1|031|Gallatin|45.7579842|-111.3199589|04/04/1980|01/29/2011
768262|Angela|Populated Place|01900|U6|0018|300018087|30|MT|1|087|Rosebud|46.730002|-106.2011344|04/04/1980|
768266|Anita|Populated Place|01975|U6|||30|MT|1|111|Yellowstone|45.9441331|-108.0220573|04/04/1980|
768269|Antelope|Populated Place|02050|U5|0021|300021091|30|MT|1|091|Sheridan|48.6897494|-104.4582863|04/04/1980|03/21/2008
768317|Apex|Populated Place|02125|U6|||30|MT|1|001|Beaverhead|45.3818692|-112.7072462|04/04/1980|
768337|Armington|Populated Place|02500|U6|||30|MT|1|013|Cascade|47.3663543|-110.9035659|04/04/1980|
768343|Arnold|Populated Place|02650|U6|||30|MT|1|031|Gallatin|45.7143729|-111.3549603|04/04/1980|
768382|Ashuelot|Populated Place|02875|U6|||30|MT|1|013|Cascade|47.5571749|-111.8113775|04/04/1980|
768484|Ballantine|Populated Place|03625|U5|0045|300045111|30|MT|1|111|Yellowstone|45.9488511|-108.1451196|04/04/1980|03/21/2008
768490|Balmont|Populated Place|03735|U6|||30|MT|1|031|Gallatin|45.6279855|-111.1052271|04/04/1980|
768500|Barber|Populated Place|03850|U6|||30|MT|1|037|Golden Valley|46.3132908|-109.3851769|04/04/1980|
768526|Barretts|Populated Place|04000|U6|0046|300046001|30|MT|1|001|Beaverhead|45.1313103|-112.7405791|04/04/1980|
768537|Bascom|Populated Place|04035|U6|||30|MT|1|087|Rosebud|46.626095|-107.7534338|04/04/1980|
768540|Baseline|Populated Place|04075|U6|||30|MT|1|111|Yellowstone|45.7838395|-108.7031982|04/04/1980|
768564|Bay Horse|Populated Place|04249|U6|||30|MT|1|075|Powder River|45.0433187|-105.5669455|04/04/1980|
768617|Beartown|Populated Place|04550|U6|||30|MT|1|039|Granite|46.7932646|-113.3400759|04/04/1980|
768654|Beaverton|Populated Place|04675|U6|||30|MT|1|105|Valley|48.4236142|-107.25397|04/04/1980|
768658|Bedford|Populated Place|04775|U6|||30|MT|1|007|Broadwater|46.3629872|-111.5505259|04/04/1980|
768673|Belgrade|Populated Place|04975|P1|0060|300060031|30|MT|1|031|Gallatin|45.7760403|-111.1768973|04/04/1980|03/21/2008
768674|Belgrade Junction|Populated Place|05000|U6|||30|MT|1|031|Gallatin|45.7796508|-111.2799571|04/04/1980|
768694|Belt Creek|Populated Place|05300|U6|||30|MT|1|013|Cascade|47.5530239|-110.9574627|04/04/1980|
768715|Benz|Populated Place|05575|U6|||30|MT|1|079|Prairie|46.6597276|-105.5013818|04/04/1980|
768716|Benzien|Populated Place|05583|U6|||30|MT|1|033|Garfield|47.2555538|-107.6801029|04/04/1980|
768742|Big Arm|Populated Place|05800|U5|0074|300074047|30|MT|1|047|Lake|47.7979969|-114.2948454|04/04/1980|03/21/2008
768824|Big Sandy|Populated Place|06250|P1|0080|300080015|30|MT|1|015|Chouteau|48.1785915|-110.1121523|04/04/1980|03/21/2008
768999|Blackleaf|Populated Place|07335|U6|||30|MT|1|099|Teton|48.0124539|-112.6061537|04/04/1980|
769013|Blackwood|Populated Place|07410|U6|||30|MT|1|031|Gallatin|45.6418739|-111.1455065|04/04/1980|
769015|Blair|Populated Place|07450|U6|||30|MT|1|085|Roosevelt|48.1466867|-104.6260704|04/04/1980|
769024|Blatchford|Populated Place|07600|U6|||30|MT|1|079|Prairie|46.7102837|-105.4494359|04/04/1980|
769055|Bluffport|Populated Place|07825|U6|||30|MT|1|079|Prairie|46.814452|-105.166091|04/04/1980|
769087|Bole|Populated Place|08050|U6|||30|MT|1|099|Teton|47.7107855|-112.0108395|04/04/1980|
769098|Bonfield|Populated Place|08200|U6|||30|MT|1|017|Custer|46.6327827|-105.5713844|04/04/1980|
769173|Bozeman|Populated Place|08950|P1|0130|300130031|30|MT|1|031|Gallatin|45.6796526|-111.0385582|04/04/1980|03/21/2008
769183|Bradman|Populated Place|09150|U6|||30|MT|1|039|Granite|46.6979861|-113.2247908|04/04/1980|
769189|Brandon|Populated Place|09400|U6|||30|MT|1|057|Madison|45.4682588|-112.1397127|04/04/1980|
769203|Brewer|Populated Place|09450|U6|||30|MT|1|007|Broadwater|46.1379848|-111.4007967|04/04/1980|
769230|Broadus|Populated Place|09700|P1|0150|300150075|30|MT|1|075|Powder River|45.4438809|-105.4074903|04/04/1980|03/21/2008
769239|Brock Creek|Populated Place|09925|U6|||30|MT|1|077|Powell|46.603542|-112.8556021|04/04/1980|
769244|Brockton|Populated Place|10000|P1|0164|300164085|30|MT|1|085|Roosevelt|48.1514085|-104.9169151|04/04/1980|03/21/2008
769303|Bruno|Populated Place|10525|U6|||30|MT|1|059|Meagher|46.3721645|-110.6279776|04/04/1980|
769331|Buell|Populated Place|10750|U6|||30|MT|1|031|Gallatin|45.7877063|-111.3216257|04/04/1980|
769332|Buelow|Populated Place|10825|U6|||30|MT|1|051|Liberty|48.5597123|-110.8371869|04/04/1980|
769334|Buffalo|Populated Place|10900|U6|0173|300173027|30|MT|1|027|Fergus|46.8210697|-109.828521|04/04/1980|
769376|Bull Mountain|Populated Place|10975|U6|||30|MT|1|111|Yellowstone|46.0224786|-107.8575969|04/04/1980|
769392|Bundy|Populated Place|11010|U6|||30|MT|1|065|Musselshell|46.2927366|-108.7787591|04/04/1980|
769412|Burnham|Populated Place|11050|U6|||30|MT|1|041|Hill|48.5608303|-109.8865951|04/04/1980|
769416|Burns|Populated Place|11125|U6|||30|MT|1|083|Richland|47.3780705|-104.4052237|04/04/1980|
769427|Busby|Populated Place|11200|U5|0175|300175003|30|MT|1|003|Big Horn|45.5372052|-106.9556075|04/04/1980|03/21/2008
769434|Busteed|Populated Place|11250|U6|||30|MT|1|095|Stillwater|45.9416111|-109.3490594|04/04/1980|
769461|Bynum|Populated Place|11500|U5|0181|300181099|30|MT|1|099|Teton|47.9791212|-112.3116955|04/04/1980|01/29/2011
769475|Cabin Creek|Populated Place|11545|U6|||30|MT|1|025|Fallon|46.6133419|-104.4216121|04/04/1980|
769512|Calypso|Populated Place|11725|U6|||30|MT|1|079|Prairie|46.7730621|-105.4227687|04/04/1980|
769515|Camas|Populated Place|11800|U5|0620|300620089|30|MT|1|089|Sanders|47.6179931|-114.6579078|04/04/1980|01/29/2011
769518|Camas Prairie|Populated Place|11875|U6|||30|MT|1|089|Sanders|47.4627127|-114.6070729|04/04/1980|
769566|Canton|Populated Place|12004|U6|||30|MT|1|007|Broadwater|46.4138217|-111.5033014|04/04/1980|
769612|Carpenter|Populated Place|12550|U6|||30|MT|1|031|Gallatin|45.8913171|-111.4644106|04/04/1980|
769624|Carter|Populated Place|12625|U5|0188|300188015|30|MT|1|015|Chouteau|47.7810776|-110.9563375|04/04/1980|03/21/2008
769633|Cartersville|Populated Place|12700|U6|||30|MT|1|087|Rosebud|46.2994424|-106.4675252|04/04/1980|
769638|Cascade|Populated Place|12775|P1|0190|300190013|30|MT|1|013|Cascade|47.2710609|-111.7005374|04/04/1980|03/21/2008
769646|Cassidy Curve|Populated Place|12810|U6|||30|MT|1|035|Glacier|48.8274814|-113.5506564|04/04/1980|
