FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|CENSUS_CODE|CENSUS_CLASS_CODE|GSA_CODE|OPM_CODE|STATE_NUMERIC|STATE_ALPHA|COUNTY_SEQUENCE|COUNTY_NUMERIC|COUNTY_NAME|PRIMARY_LATITUDE|PRIMARY_LONGITUDE|DATE_CREATED|DATE_EDITED
41148|Navajo Nation Reservation|Civil|2430R|D1|||04|AZ|1|001|Apache|36.1826006|-109.761685|11/01/1991|12/01/2016
41148|Navajo Nation Reservation|Civil|2430R|D1|||04|AZ|2|005|Coconino|36.1826006|-109.761685|11/01/1991|12/01/2016
41148|Navajo Nation Reservation|Civil|2430R|D1|||35|NM|3|043|Sandoval|36.1826006|-109.761685|11/01/1991|12/01/2016
41148|Navajo Nation Reservation|Civil|2430R|D1|||35|NM|4|031|McKinley|36.1826006|-109.761685|11/01/1991|12/01/2016
41148|Navajo Nation Reservation|Civil|2430R|D1|||35|NM|5|053|Socorro|36.1826006|-109.761685|11/01/1991|12/01/2016
41148|Navajo Nation Reservation|Civil|2430R|D1|||49|UT|6|037|San Juan|36.1826006|-109.761685|11/01/1991|12/01/2016
41148|Navajo Nation Reservation|Civil|2430R|D1|||35|NM|7|006|Cibola|36.1826006|-109.761685|11/01/1991|12/01/2016
41148|Navajo Nation Reservation|Civil|2430R|D1|||35|NM|8|039|Rio Arriba|36.1826006|-109.761685|11/01/1991|12/01/2016
41148|Navajo Nation Reservation|Civil|2430R|D1|||04|AZ|9|017|Navajo|36.1826006|-109.761685|11/01/1991|12/01/2016
41148|Navajo Nation Reservation|Civil|2430R|D1|||35|NM|10|045|San Juan|36.1826006|-109.761685|11/01/1991|12/01/2016
41148|Navajo Nation Reservation|Civil|2430R|D1|||35|NM|11|001|Bernalillo|36.1826006|-109.761685|11/01/1991|12/01/2016
169579|Ute Mountain Reservation|Civil|4470R|D1|||08|CO|1|083|Montezuma|37.1039163|-108.6627165|10/13/1978|12/01/2016
169579|Ute Mountain Reservation|Civil|4470R|D1|||49|UT|2|037|San Juan|37.1039163|-108.6627165|10/13/1978|12/01/2016
169579|Ute Mountain Reservation|Civil|4470R|D1|||08|CO|3|067|La Plata|37.1039163|-108.6627165|10/13/1978|12/01/2016
169579|Ute Mountain Reservation|Civil|4470R|D1|||35|NM|4|045|San Juan|37.1039163|-108.6627165|10/13/1978|12/01/2016
885549|Acoma Village|Populated Place|00695|U6|||35|NM|1|006|Cibola|34.8986574|-107.5869935|11/13/1980|
