FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|CENSUS_CODE|CENSUS_CLASS_CODE|GSA_CODE|OPM_CODE|STATE_NUMERIC|STATE_ALPHA|COUNTY_SEQUENCE|COUNTY_NUMERIC|COUNTY_NAME|PRIMARY_LATITUDE|PRIMARY_LONGITUDE|DATE_CREATED|DATE_EDITED
24003|Fort Mojave Reservation|Civil|1235R|D1|||04|AZ|1|015|Mohave|34.9428838|-114.6094112|06/27/1984|12/01/2016
24003|Fort Mojave Reservation|Civil|1235R|D1|||06|CA|2|071|San Bernardino|34.9428838|-114.6094112|06/27/1984|12/01/2016
24003|Fort Mojave Reservation|Civil|1235R|D1|||32|NV|3|003|Clark|34.9428838|-114.6094112|06/27/1984|12/01/2016
838422|Alpha|Populated Place|00850|U6|||32|NV|1|011|Eureka|40.0102012|-116.1931244|12/12/1980|
838496|Arden|Populated Place|02300|U6|0007|320007003|32|NV|1|003|Clark|36.0180284|-115.2308304|12/12/1980|
838652|Battle Mountain|Populated Place|04900|U5|0015|320015015|32|NV|1|015|Lander|40.6421334|-116.9342671|12/12/1980|03/21/2008
838653|Battle Mountain Reservation|Civil|0165R|D2|||32|NV|1|015|Lander|40.6616537|-116.9728787|12/12/1980|12/01/2016
839181|Bullion|Populated Place|08025|U6|||32|NV|1|007|Elko|40.5238102|-115.9964594|12/12/1980|
839592|Coaldale|Populated Place|13100|U6|0058|320058009|32|NV|1|009|Esmeralda|38.0274306|-117.8831592|12/12/1980|
839715|Cortez|Populated Place|15430|U6|||32|NV|1|015|Lander|40.1410312|-116.6034164|12/12/1980|
840180|Dry Lake|Populated Place|19700|U6|||32|NV|1|003|Clark|36.4566369|-114.843056|12/12/1980|
840384|Eureka|Populated Place|23900|U5|0085|320085011|32|NV|1|011|Eureka|39.5127066|-115.9606129|12/12/1980|01/29/2011
840412|Fallon|Populated Place|24100|P1|0090|320090001|32|NV|1|001|Churchill|39.4735288|-118.7773743|12/12/1980|03/21/2008
840414|Fallon Paiute-Shoshone Reservation|Civil|1075R|D1|||32|NV|1|001|Churchill|39.5210409|-118.6174027|12/12/1980|12/01/2016
840446|Fernley|Populated Place|24900|P1|0091|320091019|32|NV|1|019|Lyon|39.6079683|-119.2518349|12/12/1980|03/21/2008
840501|Flanigan|Populated Place|25100|U6|||32|NV|1|031|Washoe|40.1707382|-119.8865896|12/12/1980|12/21/2017
840904|Harney|Populated Place|31100|U6|||32|NV|1|011|Eureka|40.5774163|-116.3248028|12/12/1980|
840934|Hazen|Populated Place|31700|U6|0104|320104001|32|NV|1|001|Churchill|39.5651915|-119.0462731|12/12/1980|
841225|Imlay|Populated Place|34700|U5|0114|320114027|32|NV|1|027|Pershing|40.6607386|-118.1504207|12/12/1980|01/29/2011
841625|Lida|Populated Place|42000|U6|||32|NV|1|009|Esmeralda|37.4582645|-117.4981383|12/12/1980|
842060|Mesquite|Populated Place|46000|P1|0141|320141003|32|NV|1|003|Clark|36.8055312|-114.0671903|12/12/1980|03/21/2008
842148|Mina|Populated Place|46800|U5|0138|320138021|32|NV|1|021|Mineral|38.3904808|-118.1087296|12/12/1980|01/29/2011
842174|Moapa|Populated Place|47600|U6|0144|320144003|32|NV|1|003|Clark|36.675805|-114.6208232|12/12/1980|
842663|Owyhee|Populated Place|53600|U5|0155|320155007|32|NV|1|007|Elko|41.9476788|-116.0987094|12/12/1980|03/21/2008
843007|Pyramid|Populated Place|58700|U6|||32|NV|1|031|Washoe|40.074906|-119.701859|12/12/1980|
843237|Riverside|Populated Place|61160|U6|||32|NV|1|003|Clark|36.7360852|-114.2205268|12/12/1980|
843386|Rox|Populated Place|62700|U6|||32|NV|1|017|Lincoln|36.8808033|-114.6672155|12/12/1980|
843668|Shoshone|Populated Place|66500|U6|||32|NV|1|011|Eureka|40.697412|-116.5570334|12/12/1980|
843784|Smoke Creek|Populated Place|68130|U6|||32|NV|1|031|Washoe|40.447403|-119.6668629|12/12/1980|
844209|Tenabo|Populated Place|72500|U6|||32|NV|1|015|Lander|40.3143625|-116.6767544|12/12/1980|
844291|Thorne|Populated Place|72800|U6|||32|NV|1|021|Mineral|38.6018652|-118.5915221|12/12/1980|
844463|Tuscarora|Populated Place|76200|U6|0202|320202007|32|NV|1|007|Elko|41.3140735|-116.2217565|12/12/1980|
844600|Vya|Populated Place|80600|U6|||32|NV|1|031|Washoe|41.5921166|-119.8604915|12/12/1980|
844601|Wabuska|Populated Place|80800|U6|0215|320215019|32|NV|1|019|Lyon|39.1438073|-119.1832104|12/12/1980|
844607|Wadsworth|Populated Place|81000|U5|0217|320217031|32|NV|1|031|Washoe|39.6338011|-119.2854477|12/12/1980|03/21/2008
844732|West Reno|Populated Place|83600|U4|||32|NV|1|031|Washoe|39.5151884|-119.8510267|12/12/1980|
844996|Winnemucca|Populated Place|84800|P1|0230|320230013|32|NV|1|013|Humboldt|40.9729584|-117.7356849|12/12/1980|03/21/2008
845047|Woolsey|Populated Place|85000|U6|||32|NV|1|027|Pershing|40.2810198|-118.36459|12/12/1980|
845094|Paradise|Populated Place|54600|U5|0156|320156003|32|NV|1|003|Clark|36.0971945|-115.1466648|08/30/1991|03/21/2008
845151|Dinner Station|Populated Place|18775|U6|||32|NV|1|007|Elko|41.0999142|-115.866187|12/12/1980|
845306|Goodsprings|Populated Place|29500|U5|0101|320101003|32|NV|1|003|Clark|35.8324766|-115.4341661|12/12/1980|03/21/2008
845327|Sloan|Populated Place|67800|U6|||32|NV|1|003|Clark|35.9435864|-115.2172168|12/12/1980|
845336|Moapa River Indian Reservation|Civil|2315R|D2|||32|NV|1|003|Clark|36.5700509|-114.742311|08/30/1991|12/01/2016
