FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|CENSUS_CODE|CENSUS_CLASS_CODE|GSA_CODE|OPM_CODE|STATE_NUMERIC|STATE_ALPHA|COUNTY_SEQUENCE|COUNTY_NUMERIC|COUNTY_NAME|PRIMARY_LATITUDE|PRIMARY_LONGITUDE|DATE_CREATED|DATE_EDITED
1609481|Aceitunas|Populated Place|00186|U5|||72|PR|1|099|Moca|18.4432783|-67.0649026|02/13/1981|04/21/2008
1609482|Acevedo|Populated Place|00272|U6|||72|PR|1|083|Las Marías|18.2618979|-66.9835113|02/13/1981|
1609483|Adjuntas|Populated Place|00358|U5|||72|PR|1|001|Adjuntas|18.1627363|-66.7221187|02/13/1981|04/21/2008
1609484|Aguacate|Populated Place|00487|U6|||72|PR|1|005|Aguadilla|18.5021646|-67.1057362|02/13/1981|
1609485|Aguada|Populated Place|00616|U5|||72|PR|1|003|Aguada|18.3793913|-67.1882365|02/13/1981|04/21/2008
1609486|Aguadilla|Populated Place|00745|U5|||72|PR|1|005|Aguadilla|18.4274454|-67.1540698|02/13/1981|04/21/2008
1609487|Aguas Buenas|Populated Place|00874|U5|||72|PR|1|007|Aguas Buenas|18.2568989|-66.1029442|02/13/1981|04/21/2008
1609488|Aguas Claras|Populated Place|01003|U5|||72|PR|1|037|Ceiba|18.252734|-65.6534952|02/13/1981|04/21/2008
1609490|Aguas Saladas Blancas|Populated Place|01046|U6|||72|PR|1|075|Juana Díaz|18.0310747|-66.4962833|02/13/1981|
1609491|Aguilita|Populated Place|01089|U5|||72|PR|1|075|Juana Díaz|18.0232976|-66.5346166|02/13/1981|04/21/2008
1609492|Aibonito|Populated Place|01218|U5|||72|PR|1|009|Aibonito|18.1399594|-66.2660016|02/13/1981|04/21/2008
1609494|Alcantavilla|Populated Place|01476|U6|||72|PR|1|027|Camuy|18.4771667|-66.8532328|02/13/1981|
1609496|Aldea Cintrón|Populated Place|01519|U6|||72|PR|1|053|Fajardo|18.2974549|-65.644606|02/13/1981|
1609498|Algarrobo|Populated Place|01648|U6|||72|PR|1|057|Guayama|17.9805219|-66.0843316|02/13/1981|
1609499|Alianza|Populated Place|01863|U5|||72|PR|1|027|Camuy|18.4516123|-66.85351|02/13/1981|01/29/2011
1609501|Allende|Populated Place|01906|U6|||72|PR|1|013|Arecibo|18.4018919|-66.6032286|02/13/1981|
1609502|Almácigo Bajo|Populated Place|01992|U6|||72|PR|1|153|Yauco|18.0546853|-66.8662874|02/13/1981|
1609503|Altagracia|Populated Place|02207|U6|||72|PR|1|091|Manatí|18.4380023|-66.4773934|02/13/1981|
1609504|Altamesa|Populated Place|02250|U6|||72|PR|1|127|San Juan|18.3805048|-66.0937773|02/13/1981|
1609505|Altamira|Populated Place|02293|U6|||72|PR|1|127|San Juan|18.3977264|-66.1040551|02/13/1981|
1609506|Altavista|Populated Place|02336|U6|||72|PR|1|113|Ponce|18.0121876|-66.5862836|02/13/1981|
1609512|Amelia|Populated Place|02465|U6|||72|PR|1|061|Guaynabo|18.4349465|-66.1168329|02/13/1981|
1609514|Amuelas|Populated Place|02508|U6|||72|PR|1|075|Juana Díaz|18.0321858|-66.50545|02/13/1981|
1609515|Añasco|Populated Place|02680|U5|||72|PR|1|011|Añasco|18.2827291|-67.1396245|02/13/1981|05/12/2008
1609518|Ángeles|Populated Place|02938|U6|||72|PR|1|141|Utuado|18.2849529|-66.7993421|02/13/1981|
1609521|Antón Ruiz|Populated Place|03196|U5|||72|PR|1|069|Humacao|18.1852367|-65.8084959|02/13/1981|04/21/2008
1609522|Aquilino|Populated Place|03325|U6|||72|PR|1|011|Añasco|18.2557861|-67.1187908|02/13/1981|
1609525|Arecibo|Populated Place|03368|U5|||72|PR|1|013|Arecibo|18.472445|-66.7157306|02/13/1981|04/21/2008
1609526|Arenal|Populated Place|03497|U6|||72|PR|1|123|Salinas|17.9760773|-66.3154462|02/13/1981|
1609527|Arenales|Populated Place|03583|U6|||72|PR|1|005|Aguadilla|18.4782766|-67.1179586|02/13/1981|
1609528|Arenas|Populated Place|03798|U6|||72|PR|1|055|Guánica|18.0230198|-66.9082319|02/13/1981|
1609529|Arenas|Populated Place|03841|U6|||72|PR|1|087|Loíza|18.448279|-65.8973869|02/13/1981|
1609553|Arroyo|Populated Place|03927|U5|||72|PR|1|015|Arroyo|17.9658005|-66.0612756|02/13/1981|04/21/2008
1609555|Arturo Lluberas|Populated Place|04099|U6|||72|PR|1|153|Yauco|18.0460746|-66.8632318|02/13/1981|
1609556|Arús|Populated Place|04142|U6|||72|PR|1|075|Juana Díaz|18.0002428|-66.5282275|02/13/1981|
1609557|Asomante|Populated Place|04228|U6|||72|PR|1|009|Aibonito|18.1299598|-66.278224|02/13/1981|
1609558|Asomante|Populated Place|04314|U6|||72|PR|1|013|Arecibo|18.3793929|-66.596284|02/13/1981|
1609586|Bairoa|Populated Place|04572|U6|||72|PR|1|025|Caguas|18.2591206|-66.0404432|02/13/1981|01/29/2011
1609587|Bajadero|Populated Place|04658|U5|||72|PR|1|013|Arecibo|18.4266134|-66.6832302|02/13/1981|04/21/2008
1609588|Bajandas|Populated Place|04701|U5|||72|PR|1|069|Humacao|18.1577384|-65.7815509|02/13/1981|04/21/2008
1609595|Balboa|Populated Place|05002|U6|||72|PR|1|097|Mayagüez|18.2027326|-67.133513|02/13/1981|
1609596|Baldorioty de Castro|Populated Place|05045|U6|||72|PR|1|113|Ponce|18.0105212|-66.6273952|02/13/1981|
1609597|Baldrich|Populated Place|05088|U6|||72|PR|1|127|San Juan|18.4113363|-66.0623881|02/13/1981|
1609598|Ballajá|Populated Place|05131|U6|||72|PR|1|013|Arecibo|18.42578|-66.6268404|02/13/1981|
1609603|Baños de Coamo|Populated Place|05205|U6|||72|PR|1|043|Coamo|18.0377412|-66.3740584|02/13/1981|
1609604|Barceloneta|Populated Place|05346|U5|||72|PR|1|017|Barceloneta|18.4505017|-66.5385055|02/13/1981|04/21/2008
1609605|Barinas|Populated Place|05445|U6|||72|PR|1|153|Yauco|18.0135762|-66.8432313|02/13/1981|
1609606|Barranca|Populated Place|05518|U6|||72|PR|1|013|Arecibo|18.4635566|-66.7535088|02/13/1981|
1609607|Barrancas|Populated Place|05647|U6|||72|PR|1|057|Guayama|17.9480231|-66.1296101|02/13/1981|
1609608|Barrancas|Populated Place|05561|U6|||72|PR|1|019|Barranquitas|18.2235672|-66.3135025|02/13/1981|
1609609|Barranquitas|Populated Place|05690|U5|||72|PR|1|019|Barranquitas|18.1866243|-66.3062802|02/13/1981|04/21/2008
1609610|Barriada Jaime L Drew|Populated Place|05991|U6|||72|PR|1|113|Ponce|18.0327423|-66.6187841|02/13/1981|
1609611|Barrio Indios|Populated Place|06206|U6|||72|PR|1|059|Guayanilla|17.9930216|-66.8126754|02/13/1981|
1609612|Barrio Nuevo|Populated Place|06249|U6|||72|PR|1|021|Bayamón|18.2777316|-66.1932231|02/13/1981|
1609613|Bartolo|Populated Place|06421|U5|||72|PR|1|119|Río Grande|18.361339|-65.8384971|02/13/1981|04/21/2008
1609614|Bay View|Populated Place|07109|U6|||72|PR|1|033|Cataño|18.4468904|-66.1348887|02/13/1981|
1609615|Bayamón|Populated Place|06593|U5|||72|PR|1|021|Bayamón|18.3985595|-66.1557224|02/13/1981|04/21/2008
1609616|Bayamón Gardens|Populated Place|06980|U6|||72|PR|1|021|Bayamón|18.377727|-66.1798894|02/13/1981|
1609617|Bayamoncito|Populated Place|06937|U6|||72|PR|1|045|Comerío|18.2366222|-66.1701673|02/13/1981|
1609618|Bayaney|Populated Place|07023|U6|||72|PR|1|065|Hatillo|18.369116|-66.7932313|02/13/1981|
1609619|Beatriz|Populated Place|07195|U6|||72|PR|1|035|Cayey|18.1577366|-66.0959992|02/13/1981|
1609620|Beltrán|Populated Place|07410|U6|||72|PR|1|053|Fajardo|18.3407862|-65.633217|02/13/1981|
1609621|Belvedere|Populated Place|07430|U6|||72|PR|1|023|Cabo Rojo|18.0913483|-67.1854576|02/13/1981|
1609622|Benitez|Populated Place|07539|U6|||72|PR|1|087|Loíza|18.2727318|-65.8818304|02/13/1981|
1609623|Berio|Populated Place|07582|U6|||72|PR|1|047|Corozal|18.2705097|-66.3440584|02/13/1981|
1609624|Besosa|Populated Place|07645|U6|||72|PR|1|057|Guayama|17.9730218|-66.2023892|02/13/1981|
1609625|Betances|Populated Place|07668|U5|||72|PR|1|023|Cabo Rojo|18.0285736|-67.1349009|02/13/1981|04/21/2008
1609626|Beverly Hills|Populated Place|07711|U6|||72|PR|1|061|Guaynabo|18.3330067|-66.0951664|02/13/1981|
1609627|Biáfara|Populated Place|07754|U6|||72|PR|1|013|Arecibo|18.4085585|-66.6618409|02/13/1981|
1609628|Bizarreta|Populated Place|07785|U6|||72|PR|1|075|Juana Díaz|17.9955204|-66.4571156|02/13/1981|
1609629|Blasina|Populated Place|07797|U6|||72|PR|1|119|Río Grande|18.3752274|-65.8173858|02/13/1981|
1609637|Boquerón|Populated Place|07969|U5|||72|PR|1|023|Cabo Rojo|18.0269067|-67.169068|02/13/1981|04/21/2008
1609638|Boquerón|Populated Place|08184|U6|||72|PR|1|089|Luquillo|18.3510633|-65.6873841|02/13/1981|
1609639|Boquillas|Populated Place|08270|U6|||72|PR|1|091|Manatí|18.4624457|-66.4882269|02/13/1981|
1609640|Borinquen|Populated Place|08399|U6|||72|PR|1|113|Ponce|18.0246872|-66.6129506|02/13/1981|
1609641|Borrás|Populated Place|08528|U6|||72|PR|1|089|Luquillo|18.3543964|-65.6923841|02/13/1981|
1609643|Botijas|Populated Place|08571|U6|||72|PR|1|107|Orocovis|18.2413443|-66.3671143|02/13/1981|
1609644|Branderi|Populated Place|08657|U6|||72|PR|1|057|Guayama|17.9671892|-66.088776|02/13/1981|
1609645|Brenas|Populated Place|08700|U5|||72|PR|1|143|Vega Alta|18.4671678|-66.3410028|02/13/1981|05/12/2008
1609647|Bucaná|Populated Place|08743|U6|||72|PR|1|113|Ponce|18.0052435|-66.5912836|02/13/1981|
1609648|Bucarabones|Populated Place|08915|U6|||72|PR|1|135|Toa Alta|18.3960596|-66.218501|02/13/1981|
1609649|Bucaré|Populated Place|08958|U6|||72|PR|1|127|San Juan|18.3643943|-66.0871106|02/13/1981|
1609650|Buen Consejo|Populated Place|09474|U6|||72|PR|1|127|San Juan|18.3946704|-66.0451658|02/13/1981|
1609652|Buena Vista|Populated Place|09431|U6|||72|PR|1|113|Ponce|18.006077|-66.5976726|02/13/1981|
1609653|Buena Vista|Populated Place|09250|U5|||72|PR|1|069|Humacao|18.115518|-65.7982173|02/13/1981|01/29/2011
1609654|Buena Vista|Populated Place|09388|U6|||72|PR|1|097|Mayagüez|18.1966217|-67.1387907|02/13/1981|
