FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|CENSUS_CODE|CENSUS_CLASS_CODE|GSA_CODE|OPM_CODE|STATE_NUMERIC|STATE_ALPHA|COUNTY_SEQUENCE|COUNTY_NUMERIC|COUNTY_NAME|PRIMARY_LATITUDE|PRIMARY_LONGITUDE|DATE_CREATED|DATE_EDITED
986977|Holmesville|Populated Place|34630|U6|||37|NC|1|155|Robeson|34.3601638|-79.1428156|06/17/1980|
986977|Holmesville|Populated Place|34630|U6|||45|SC|2|033|Dillon|34.3601638|-79.1428156|06/17/1980|
1220121|Abney Crossroads|Populated Place|00165|U6|||45|SC|1|055|Kershaw|34.5087668|-80.5139621|07/13/1980|
1220137|Adams Run|Populated Place|00370|U6|0015|450015019|45|SC|1|019|Charleston|32.7207343|-80.3481562|07/13/1980|
1220167|Allendale|Populated Place|00955|P1|0030|450030005|45|SC|1|005|Allendale|33.0079345|-81.3084405|07/13/1980|03/20/2008
1220187|Almeda|Populated Place|01090|U6|||45|SC|1|049|Hampton|32.8298903|-81.0492728|07/13/1980|
1220205|Angelus|Populated Place|01540|U6|||45|SC|1|025|Chesterfield|34.5968208|-80.3197904|07/13/1980|
1220209|Antioch|Populated Place|01785|U6|||45|SC|1|089|Williamsburg|33.4798888|-79.5964537|07/13/1980|
1220229|Arcadia|Populated Place|02080|U5|0060|450060083|45|SC|1|083|Spartanburg|34.9581764|-81.9906603|07/13/1980|01/29/2011
1220230|Arcadia Heights|Populated Place|02100|U6|||45|SC|1|083|Spartanburg|34.9562316|-81.999827|07/13/1980|
1220234|Armenia|Populated Place|02620|U6|||45|SC|1|023|Chester|34.7684705|-81.2928684|07/13/1980|
1220250|Ashland|Populated Place|02800|U6|||45|SC|1|061|Lee|34.3398762|-80.1981253|07/13/1980|
1220251|Ashleigh|Populated Place|02820|U6|||45|SC|1|011|Barnwell|33.3009848|-81.3176059|07/13/1980|
1220255|Ashley Heights|Populated Place|02935|U6|||45|SC|1|019|Charleston|32.9326734|-80.0542555|07/13/1980|
1220263|Atkins|Populated Place|03160|U6|||45|SC|1|061|Lee|34.0379351|-80.1153507|07/13/1980|
1220269|Aynor|Populated Place|03430|P1|0090|450090051|45|SC|1|051|Horry|33.9998881|-79.1994874|07/13/1980|03/20/2008
1220276|Back Swamp|Populated Place|03505|U6|||45|SC|1|041|Florence|34.2737657|-79.7258938|07/13/1980|
1220287|Badham|Populated Place|03520|U6|||45|SC|1|035|Dorchester|33.1957177|-80.6112086|07/13/1980|
1220302|Baker Hill|Populated Place|03580|U6|||45|SC|1|053|Jasper|32.3732476|-81.1212208|07/13/1980|
1220339|Barton|Populated Place|04195|U6|||45|SC|1|005|Allendale|32.9223828|-81.2864946|07/13/1980|
1220340|Bascomville|Populated Place|04240|U6|||45|SC|1|023|Chester|34.6990311|-80.976469|07/13/1980|
1220348|Bass Crossroads|Populated Place|04270|U6|||45|SC|1|033|Dillon|34.3587717|-79.4147717|07/13/1980|
