FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|CENSUS_CODE|CENSUS_CLASS_CODE|GSA_CODE|OPM_CODE|STATE_NUMERIC|STATE_ALPHA|COUNTY_SEQUENCE|COUNTY_NUMERIC|COUNTY_NAME|PRIMARY_LATITUDE|PRIMARY_LONGITUDE|DATE_CREATED|DATE_EDITED
1253581|Aberdeen|Populated Place|00100|P1|0010|460010013|46|SD|1|013|Brown|45.4646985|-98.4864829|02/13/1980|01/23/2018
1253585|Academy|Populated Place|00180|U6|0013|460013023|46|SD|1|023|Charles Mix|43.4563876|-99.0798134|02/13/1980|
1253593|Agar|Populated Place|00460|P1|0020|460020119|46|SD|1|119|Sully|44.8383153|-100.0745668|02/13/1980|02/28/2018
1253600|Albee|Populated Place|00620|P1|0040|460040051|46|SD|1|051|Grant|45.0521869|-96.5533899|02/13/1980|02/06/2018
1253607|Alcester|Populated Place|00700|P1|0050|460050127|46|SD|1|127|Union|43.0213783|-96.6308708|02/13/1980|02/28/2018
1253612|Alexandria|Populated Place|00820|P1|0060|460060061|46|SD|1|061|Hanson|43.653592|-97.7828482|02/13/1980|03/20/2008
1253631|Alpena|Populated Place|01020|P1|0070|460070073|46|SD|1|073|Jerauld|44.1813767|-98.365646|02/13/1980|03/20/2008
1253633|Altamont|Populated Place|01140|P1|0080|460080039|46|SD|1|039|Deuel|44.8396869|-96.6895039|02/13/1980|02/06/2018
1253644|Amherst|Populated Place|01420|U6|0085|460085091|46|SD|1|091|Marshall|45.7380069|-97.9212165|02/13/1980|
1253659|Antelope|Populated Place|01740|U5|||46|SD|1|121|Todd|43.3030592|-100.6293047|02/13/1980|03/20/2008
1253681|Arlington Beach|Populated Place|02220|U6|||46|SD|1|011|Brookings|44.5338553|-97.0978447|02/13/1980|
1253684|Armour|Populated Place|02260|P1|0120|460120043|46|SD|1|043|Douglas|43.3186012|-98.3467455|02/13/1980|02/06/2018
1253695|Artas|Populated Place|02340|P1|||46|SD|1|021|Campbell|45.8880399|-99.8065067|02/13/1980|01/29/2018
1253718|Astoria|Populated Place|02580|P1|0150|460150039|46|SD|1|039|Deuel|44.5582971|-96.547273|02/13/1980|02/06/2018
1253728|Aurora|Populated Place|02780|P1|0160|460160011|46|SD|1|011|Brookings|44.2841348|-96.685606|02/13/1980|03/20/2008
1253729|Aurora Center|Populated Place|02860|U5|||46|SD|1|003|Aurora|43.5269365|-98.5898055|02/13/1980|03/20/2008
1253731|Avon|Populated Place|02900|P1|0170|460170009|46|SD|1|009|Bon Homme|43.0049954|-98.0597954|02/13/1980|01/23/2018
1253738|Badger|Populated Place|03060|P1|0180|460180077|46|SD|1|077|Kingsbury|44.4852447|-97.2047916|02/13/1980|03/20/2008
1253760|Bancroft|Populated Place|03420|P1|0200|460200077|46|SD|1|077|Kingsbury|44.488028|-97.7500834|02/13/1980|03/20/2008
1253773|Barnard|Populated Place|03660|U6|0202|460202013|46|SD|1|013|Brown|45.7324748|-98.4964855|02/13/1980|
1253782|Batesland|Populated Place|03860|P1|0205|460205102|46|SD|1|102|Oglala Lakota|43.1294379|-102.102097|02/13/1980|03/20/2008
1253783|Bath|Populated Place|03900|U5|0207|460207013|46|SD|1|013|Brown|45.4683025|-98.3237067|02/13/1980|01/29/2011
1253809|Bear Creek|Populated Place|04020|U6|||46|SD|1|041|Dewey|45.0622031|-101.4459883|02/13/1980|
1253842|Belvidere|Populated Place|04620|P1|0220|460220071|46|SD|1|071|Jackson|43.8319373|-101.271531|02/13/1980|03/20/2008
1253927|Big Stone City|Populated Place|05540|P1|0240|460240051|46|SD|1|051|Grant|45.2916316|-96.4628344|02/13/1980|02/06/2018
1253933|Billsburg|Populated Place|05600|U6|||46|SD|1|055|Haakon|44.4005405|-101.6801452|02/13/1980|
1253935|Bison|Populated Place|05620|P1|0250|460250105|46|SD|1|105|Perkins|45.5202647|-102.4612708|02/13/1980|03/20/2008
1253941|Bixby|Populated Place|05670|U6|||46|SD|1|105|Perkins|45.1483192|-102.5618276|02/13/1980|
1253984|Blunt|Populated Place|06180|P1|0260|460260065|46|SD|1|065|Hughes|44.5122043|-99.9920665|02/13/1980|03/20/2008
1254006|Bonesteel|Populated Place|06220|P1|0270|460270053|46|SD|1|053|Gregory|43.0763861|-98.9445349|02/13/1980|03/20/2008
1254008|Bonilla|Populated Place|06340|U6|||46|SD|1|005|Beadle|44.5827589|-98.4992613|02/13/1980|
1254024|Bowdle|Populated Place|06540|P1|0280|460280045|46|SD|1|045|Edmunds|45.4530375|-99.6540068|02/13/1980|02/06/2018
1254028|Box Elder|Populated Place|06620|P1|0285|460285103|46|SD|1|103|Pennington|44.1124877|-103.0682323|02/13/1980|02/28/2018
1254035|Bradley|Populated Place|06660|P1|0290|460290025|46|SD|1|025|Clark|45.0905157|-97.6436969|02/13/1980|01/29/2018
1254042|Brandon|Populated Place|06840|P1|0295|460295099|46|SD|1|099|Minnehaha|43.5946963|-96.5719896|02/13/1980|02/16/2018
1254056|Brentford|Populated Place|07060|P1|0310|460310115|46|SD|1|115|Spink|45.1602486|-98.3228702|02/13/1980|02/28/2018
1254058|Bridger|Populated Place|07140|U6|||46|SD|1|137|Ziebach|44.5458193|-101.911264|02/13/1980|
1254060|Bridgewater|Populated Place|07180|P1|0320|460320087|46|SD|1|087|McCook|43.5516489|-97.507566|02/13/1980|02/15/2018
1254065|Bristol|Populated Place|07300|P1|0330|460330037|46|SD|1|037|Day|45.3446765|-97.7484272|02/13/1980|02/01/2018
1254066|Britton|Populated Place|07380|P1|0340|460340091|46|SD|1|091|Marshall|45.7916192|-97.7509366|02/13/1980|03/20/2008
1254068|Broadland|Populated Place|07420|P1|0350|460350005|46|SD|1|005|Beadle|44.4924824|-98.3492596|02/13/1980|01/16/2018
1254074|Brookings|Populated Place|07580|P1|0360|460360011|46|SD|1|011|Brookings|44.3113573|-96.7983877|02/13/1980|03/20/2008
1254084|Bruce|Populated Place|07740|P1|0370|460370011|46|SD|1|011|Brookings|44.4380228|-96.8900589|02/13/1980|03/20/2008
1254101|Bryant|Populated Place|08060|P1|0380|460380057|46|SD|1|057|Hamlin|44.5905226|-97.4673006|02/13/1980|02/06/2018
1254110|Buffalo|Populated Place|08140|P1|0390|460390063|46|SD|1|063|Harding|45.5841637|-103.5460251|02/13/1980|02/15/2018
1254122|Buffalo Gap|Populated Place|08340|P1|0400|460400033|46|SD|1|033|Custer|43.4916502|-103.312975|02/13/1980|02/01/2018
1254153|Bullhead|Populated Place|08460|U5|0405|460405031|46|SD|1|031|Corson|45.7655532|-101.0806929|02/13/1980|03/20/2008
1254159|Bunker (historical)|Populated Place|08470|U6|||46|SD|1|117|Stanley|44.2385957|-101.1018073|02/13/1980|
1254165|Burke|Populated Place|08700|P1|0410|460410053|46|SD|1|053|Gregory|43.1824998|-99.2920453|02/13/1980|02/06/2018
1254173|Bushnell|Populated Place|08820|P1|0420|460420011|46|SD|1|011|Brookings|44.3285783|-96.6425497|02/13/1980|03/20/2008
1254176|Butler|Populated Place|08860|P1|0430|460430037|46|SD|1|037|Day|45.2588447|-97.7123132|02/13/1980|02/01/2018
1254208|Camp Crook|Populated Place|09260|P1|0440|460440063|46|SD|1|063|Harding|45.5502732|-103.9746555|02/13/1980|02/15/2018
1254224|Canistota|Populated Place|09300|P1|0450|460450087|46|SD|1|087|McCook|43.5977584|-97.2906172|02/13/1980|02/15/2018
1254226|Canning|Populated Place|09380|U6|||46|SD|1|065|Hughes|44.3963716|-100.0320677|02/13/1980|
1254228|Canton|Populated Place|09500|P1|0470|460470083|46|SD|1|083|Lincoln|43.3008146|-96.5928198|02/13/1980|02/15/2018
1254232|Capa|Populated Place|09620|U6|0472|460472075|46|SD|1|075|Jones|44.1088749|-100.9781948|02/13/1980|
1254248|Carpenter|Populated Place|10020|U6|0475|460475025|46|SD|1|025|Clark|44.6374734|-97.9167552|02/13/1980|
1254257|Carter|Populated Place|10140|U6|0480|460480123|46|SD|1|123|Tripp|43.3872233|-100.202629|02/13/1980|
1254274|Cavour|Populated Place|10620|P1|0510|460510005|46|SD|1|005|Beadle|44.36998|-98.0378656|02/13/1980|01/16/2018
1254278|Cedar Butte|Populated Place|10740|U6|||46|SD|1|095|Mellette|43.5769432|-101.0184777|02/13/1980|
1254289|Cedar Grove Colony|Populated Place|10835|U6|||46|SD|1|015|Brule|43.5302733|-98.8078637|02/13/1980|
1254319|Chance|Populated Place|11335|U6|||46|SD|1|105|Perkins|45.4099833|-102.2812741|02/13/1980|
1254320|Chancellor|Populated Place|11380|P1|0550|460550125|46|SD|1|125|Turner|43.3722033|-96.986997|02/13/1980|03/20/2008
1254339|Chelsea|Populated Place|11500|P1|0560|460560049|46|SD|1|049|Faulk|45.1685864|-98.7395464|02/13/1980|02/06/2018
