FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|CENSUS_CODE|CENSUS_CLASS_CODE|GSA_CODE|OPM_CODE|STATE_NUMERIC|STATE_ALPHA|COUNTY_SEQUENCE|COUNTY_NUMERIC|COUNTY_NAME|PRIMARY_LATITUDE|PRIMARY_LONGITUDE|DATE_CREATED|DATE_EDITED
41148|Navajo Nation Reservation|Civil|2430R|D1|||04|AZ|1|005|Coconino|35.6247223|-111.2509781|11/01/1991|01/15/2013
41148|Navajo Nation Reservation|Civil|2430R|D1|||04|AZ|2|001|Apache|35.6247223|-111.2509781|11/01/1991|01/15/2013
41148|Navajo Nation Reservation|Civil|2430R|D1|||04|AZ|3|017|Navajo|35.6247223|-111.2509781|11/01/1991|01/15/2013
41148|Navajo Nation Reservation|Civil|2430R|D1|||35|NM|4|045|San Juan|35.6247223|-111.2509781|11/01/1991|01/15/2013
41148|Navajo Nation Reservation|Civil|2430R|D1|||35|NM|5|039|Rio Arriba|35.6247223|-111.2509781|11/01/1991|01/15/2013
41148|Navajo Nation Reservation|Civil|2430R|D1|||35|NM|6|043|Sandoval|35.6247223|-111.2509781|11/01/1991|01/15/2013
41148|Navajo Nation Reservation|Civil|2430R|D1|||35|NM|7|031|McKinley|35.6247223|-111.2509781|11/01/1991|01/15/2013
41148|Navajo Nation Reservation|Civil|2430R|D1|||49|UT|8|037|San Juan|35.6247223|-111.2509781|11/01/1991|01/15/2013
41148|Navajo Nation Reservation|Civil|2430R|D1|||35|NM|9|006|Cibola|35.6247223|-111.2509781|11/01/1991|01/15/2013
41148|Navajo Nation Reservation|Civil|2430R|D1|||35|NM|10|001|Bernalillo|35.6247223|-111.2509781|11/01/1991|01/15/2013
41148|Navajo Nation Reservation|Civil|2430R|D1|||35|NM|11|053|Socorro|35.6247223|-111.2509781|11/01/1991|01/15/2013
169579|Ute Mountain Reservation|Civil|4470R|D1|||08|CO|1|083|Montezuma|37.1039225|-108.6627556|10/13/1978|01/15/2013
169579|Ute Mountain Reservation|Civil|4470R|D1|||49|UT|2|037|San Juan|37.1039225|-108.6627556|10/13/1978|01/15/2013
169579|Ute Mountain Reservation|Civil|4470R|D1|||08|CO|3|067|La Plata|37.1039225|-108.6627556|10/13/1978|01/15/2013
169579|Ute Mountain Reservation|Civil|4470R|D1|||35|NM|4|045|San Juan|37.1039225|-108.6627556|10/13/1978|01/15/2013
395885|Utida|Populated Place|79320|U4|||49|UT|1|005|Cache|41.9990916|-111.9752304|12/31/1979|
395885|Utida|Populated Place|79320|U4|||16|ID|2|041|Franklin|41.9990916|-111.9752304|12/31/1979|
1425039|Abraham|Populated Place|00100|U6|||49|UT|1|027|Millard|39.3966197|-112.7180077|12/31/1979|
1425050|Adamsville|Populated Place|00320|U6|||49|UT|1|001|Beaver|38.2583031|-112.7938352|12/31/1979|
1425096|Altamont|Populated Place|00760|P1|0016|490016013|49|UT|1|013|Duchesne|40.359398|-110.2862683|12/31/1979|03/21/2008
1425097|Altonah|Populated Place|00980|U6|0021|490021013|49|UT|1|013|Duchesne|40.4013411|-110.2937692|12/31/1979|
1425177|Arsenal Villa|Populated Place|02435|U6|||49|UT|1|057|Weber|41.1596663|-112.0341091|12/31/1979|
1425202|Atwood|Populated Place|02630|U4|||49|UT|1|035|Salt Lake|40.6327253|-111.8982687|12/31/1979|
1425305|Barton|Populated Place|03565|U6|||49|UT|1|057|Weber|41.1599439|-112.0646649|12/31/1979|
1425327|Bauer|Populated Place|03730|U6|||49|UT|1|045|Tooele|40.4718885|-112.3621713|12/31/1979|02/15/2006
1425430|Bennion|Populated Place|04940|U3|0093|490093035|49|UT|1|035|Salt Lake|40.6385584|-111.9388256|12/31/1979|
1425433|Benson|Populated Place|05050|U5|||49|UT|1|005|Cache|41.7874286|-111.9302248|12/31/1979|03/21/2008
1425831|Bluebell|Populated Place|06590|U5|0123|490123013|49|UT|1|013|Duchesne|40.3593988|-110.2173783|12/31/1979|01/29/2011
1425842|Bluff|Populated Place|06700|U5|0125|490125037|49|UT|1|037|San Juan|37.2844449|-109.5517877|12/31/1979|03/21/2008
1425844|Bluffdale|Populated Place|06810|P1|0124|490124035|49|UT|1|035|Salt Lake|40.4896712|-111.9388244|12/31/1979|03/21/2008
1425865|Bonanza|Populated Place|06920|U5|0127|490127047|49|UT|1|047|Uintah|40.0210781|-109.1773388|12/31/1979|01/29/2011
1425891|Bothwell|Populated Place|07360|U6|0130|490130003|49|UT|1|003|Box Elder|41.7171498|-112.2588442|12/31/1979|02/15/2006
1426269|Caineville|Populated Place|09890|U6|||49|UT|1|055|Wayne|38.3330359|-111.0187738|12/31/1979|
1426344|Cannonville|Populated Place|10330|P1|0160|490160017|49|UT|1|017|Garfield|37.5669286|-112.0538005|12/31/1979|03/21/2008
1426351|Carbonville|Populated Place|10440|U5|||49|UT|1|007|Carbon|39.6199647|-110.8343268|12/31/1979|01/29/2011
1426380|Castle Dale|Populated Place|10660|P1|0170|490170015|49|UT|1|015|Emery|39.212192|-111.019613|12/31/1979|09/23/2013
1426441|Cedar City|Populated Place|11320|P1|0190|490190021|49|UT|1|021|Iron|37.6774769|-113.0618931|12/31/1979|03/21/2008
1426506|Centerfield|Populated Place|11870|P1|0200|490200039|49|UT|1|039|Sanpete|39.1252392|-111.8190914|12/31/1979|03/21/2008
1426539|Charleston|Populated Place|12420|P1|0230|490230051|49|UT|1|051|Wasatch|40.4663446|-111.4699092|12/31/1979|03/21/2008
1426671|Clarkston|Populated Place|13190|P1|0250|490250005|49|UT|1|005|Cache|41.9202033|-112.0499536|12/31/1979|03/21/2008
1426675|Clawson|Populated Place|13300|P1|0252|490252015|49|UT|1|015|Emery|39.1330266|-111.0971135|12/31/1979|03/21/2008
1426712|Cleveland|Populated Place|14070|P1|0270|490270015|49|UT|1|015|Emery|39.3488582|-110.8515521|12/31/1979|03/21/2008
1426725|Clinton|Populated Place|14290|P1|0280|490280011|49|UT|1|011|Davis|41.139666|-112.0504983|12/31/1979|03/21/2008
1426731|Clover Station|Locale|14620|U6|||49|UT|1|045|Tooele|40.3138336|-112.405229|12/31/1979|
1426770|Coalville|Populated Place|14840|P1|0290|490290043|49|UT|1|043|Summit|40.9177251|-111.3993634|12/31/1979|03/21/2008
1426815|Columbia|Populated Place|15280|U6|0295|490295007|49|UT|1|007|Carbon|39.5169113|-110.3826544|12/31/1979|
1426865|Copperton|Populated Place|15720|U5|0298|490298035|49|UT|1|035|Salt Lake|40.5646688|-112.0974407|12/31/1979|01/29/2011
1427092|Crescent|Populated Place|16930|U6|||49|UT|1|035|Salt Lake|40.5513374|-111.8910457|12/31/1979|
1427117|Crossroads|Populated Place|17205|U6|||49|UT|1|003|Box Elder|41.7124285|-112.142174|12/31/1979|
1427128|Croydon|Populated Place|17260|U6|0313|490313029|49|UT|1|029|Morgan|41.0685562|-111.5138141|12/31/1979|02/15/2006
1427334|Delta|Populated Place|18910|P1|0320|490320027|49|UT|1|027|Millard|39.3521777|-112.57717|12/31/1979|03/21/2008
1427343|Deseret|Populated Place|19020|U5|0325|490325027|49|UT|1|027|Millard|39.286901|-112.652727|12/31/1979|01/29/2011
1427379|Devils Slide|Populated Place|19460|U6|||49|UT|1|029|Morgan|41.0635561|-111.5432599|12/31/1979|
1427422|Dividend|Populated Place|19760|U6|||49|UT|1|049|Utah|39.9546731|-112.0613333|12/31/1979|
1427473|Draper|Populated Place|20120|P1|0344|490344035|49|UT|1|035|Salt Lake|40.5246711|-111.8638226|12/31/1979|03/21/2008
1427601|Duchesne|Populated Place|20340|P1|0350|490350013|49|UT|1|013|Duchesne|40.1632913|-110.4029329|12/31/1979|03/21/2008
1427710|East Millcreek|Populated Place|21550|U5|||49|UT|1|035|Salt Lake|40.6999471|-111.8104888|12/31/1979|03/21/2008
1427737|Eastland|Populated Place|21220|U6|||49|UT|1|037|San Juan|37.803604|-109.1340005|12/31/1979|
1427740|Echo|Populated Place|21880|U5|0359|490359043|49|UT|1|043|Summit|40.9777244|-111.443255|12/31/1979|01/29/2011
1427746|Eden|Populated Place|21990|U5|0361|490361057|49|UT|1|057|Weber|41.3004965|-111.8121612|12/31/1979|01/29/2011
1427772|Mount Nebo|Populated Place|52875|U3|0363|490363049|49|UT|1|049|Utah|39.9527303|-111.9563298|12/31/1979|03/21/2008
1427806|Elmo|Populated Place|22540|P1|0370|490370015|49|UT|1|015|Emery|39.389691|-110.8151613|12/31/1979|03/21/2008
1427809|Elwood|Populated Place|22760|P1|0390|490390003|49|UT|1|003|Box Elder|41.6904847|-112.1410625|12/31/1979|03/21/2008
1427831|Enterprise|Populated Place|23310|U5|||49|UT|1|029|Morgan|41.0996658|-111.7363245|12/31/1979|01/29/2011
1427841|Eskdale|Populated Place|23860|U6|||49|UT|1|027|Millard|39.107169|-113.9524879|12/31/1979|
1427862|Evona|Populated Place|24190|U4|||49|UT|1|057|Weber|41.2227225|-112.0013309|12/31/1979|
1427871|Fairfield|Populated Place|24410|P1|0445|490445049|49|UT|1|049|Utah|40.2621714|-112.0929961|12/31/1979|03/21/2008
