FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|CENSUS_CODE|CENSUS_CLASS_CODE|GSA_CODE|OPM_CODE|STATE_NUMERIC|STATE_ALPHA|COUNTY_SEQUENCE|COUNTY_NUMERIC|COUNTY_NAME|PRIMARY_LATITUDE|PRIMARY_LONGITUDE|DATE_CREATED|DATE_EDITED
1613677|Adrian|Populated Place|00050|U6|||78|VI|1|020|St. John|18.3413429|-64.7684711|01/26/1981|
1613682|Allandale|Populated Place|00500|U6|||78|VI|1|010|St. Croix|17.7280296|-64.840146|01/26/1981|
1613683|Altona|Populated Place|01000|U6|||78|VI|1|010|St. Croix|17.7446955|-64.6940308|01/26/1981|
1613684|Altona|Populated Place|01900|U6|||78|VI|1|030|St. Thomas|18.3388456|-64.9487576|01/26/1981|
1613688|Anguilla|Populated Place|02400|U6|||78|VI|1|010|St. Croix|17.7066414|-64.7798676|01/26/1981|
1613690|Annaberg|Populated Place|03500|U6|||78|VI|1|020|St. John|18.3630089|-64.7301369|01/26/1981|
1613691|Annaberg|Populated Place|02800|U6|||78|VI|1|010|St. Croix|17.7116411|-64.7743119|01/26/1981|
1613693|Annaly|Populated Place|03600|U6|||78|VI|1|010|St. Croix|17.7496954|-64.8543126|01/26/1981|
1613695|Annas Hope|Populated Place|03700|U6|||78|VI|1|010|St. Croix|17.728307|-64.7287549|01/26/1981|
1613702|Barrett|Populated Place|06000|U6|||78|VI|1|030|St. Thomas|18.3652339|-64.9459791|01/26/1981|
1613706|Beck Grove|Populated Place|06150|U6|||78|VI|1|010|St. Croix|17.7252519|-64.8501461|01/26/1981|
1613707|Beeston Hill|Populated Place|06200|U6|||78|VI|1|010|St. Croix|17.73664|-64.7223655|01/26/1981|
1613708|Bellevue|Populated Place|06250|U6|||78|VI|1|010|St. Croix|17.7477506|-64.7334767|01/26/1981|
1613709|Belvedere|Populated Place|06300|U6|||78|VI|1|010|St. Croix|17.776361|-64.7987558|01/26/1981|
1613710|Benner|Populated Place|06325|U6|||78|VI|1|030|St. Thomas|18.3221767|-64.8618078|01/26/1981|
1613714|Bethany|Populated Place|06400|U6|||78|VI|1|020|St. John|18.3310654|-64.7829159|01/26/1981|
1613716|Bethlehem Old Work|Populated Place|07300|U6|||78|VI|1|010|St. Croix|17.7313627|-64.7937565|01/26/1981|
1613717|Bettys Hope|Populated Place|07600|U6|||78|VI|1|010|St. Croix|17.6921977|-64.8165348|01/26/1981|
1613718|Betzys Jewell|Populated Place|07700|U6|||78|VI|1|010|St. Croix|17.7594172|-64.7957005|01/26/1981|
1613724|Blessing|Populated Place|07800|U6|||78|VI|1|010|St. Croix|17.7138632|-64.7645895|01/26/1981|
1613730|Bodkin|Populated Place|07900|U6|||78|VI|1|010|St. Croix|17.7513619|-64.8415347|01/26/1981|
1613733|Bonne Esperance|Populated Place|08000|U6|||78|VI|1|010|St. Croix|17.7433065|-64.7693113|01/26/1981|
1613735|Bonne Esperance|Populated Place|08050|U6|||78|VI|1|030|St. Thomas|18.3544001|-64.9870917|01/26/1981|
