FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|CENSUS_CODE|CENSUS_CLASS_CODE|GSA_CODE|OPM_CODE|STATE_NUMERIC|STATE_ALPHA|COUNTY_SEQUENCE|COUNTY_NUMERIC|COUNTY_NAME|PRIMARY_LATITUDE|PRIMARY_LONGITUDE|DATE_CREATED|DATE_EDITED
1456106|Adamant|Populated Place|00175|U6|||50|VT|1|023|Washington|44.3292247|-72.5028853|10/29/1980|
1456113|Addison|Populated Place|00250|U6|0002|500002001|50|VT|1|001|Addison|44.0886671|-73.302622|10/29/1980|
1456118|Albany|Populated Place|00400|P1|0010|500010019|50|VT|1|019|Orleans|44.7308826|-72.3798297|10/29/1980|02/27/2008
1456120|Alburg|Populated Place|00625|P1|0020|500020013|50|VT|1|013|Grand Isle|44.9750399|-73.3001312|10/29/1980|02/27/2008
1456121|Alburg Center|Populated Place|00775|U6|0020|500020013|50|VT|1|013|Grand Isle|44.9536516|-73.2698525|10/29/1980|
1456137|Alfrecha|Populated Place|01000|U6|||50|VT|1|021|Rutland|43.5642356|-72.9726057|10/29/1980|
1456154|Ames Hill|Populated Place|01150|U6|||50|VT|1|025|Windham|42.8548039|-72.687593|10/29/1980|
1456159|Amsden|Populated Place|01225|U6|||50|VT|1|027|Windsor|43.4059058|-72.5059242|10/29/1980|
1456162|Andover|Populated Place|01290|U6|||50|VT|1|027|Windsor|43.2772967|-72.6967616|10/29/1980|
1456178|Ascutney|Populated Place|01750|U5|0031|500031027|50|VT|1|027|Windsor|43.4070172|-72.4070346|10/29/1980|01/29/2011
1456182|Athens|Populated Place|01825|U6|0032|500032025|50|VT|1|025|Windham|43.1336888|-72.5678685|10/29/1980|
1456190|Avalon Beach|Populated Place|01975|U6|||50|VT|1|021|Rutland|43.6400657|-73.2251111|10/29/1980|
1456192|Averill|Populated Place|02000|U6|||50|VT|1|009|Essex|44.9981018|-71.7103705|10/29/1980|
1456209|Baileys Mills|Populated Place|02350|U6|||50|VT|1|027|Windsor|43.2978521|-72.6048148|10/29/1980|
1456238|Baltimore|Populated Place|02570|U6|||50|VT|1|027|Windsor|43.360351|-72.5731478|10/29/1980|
1456258|Barnard|Populated Place|02650|U6|0037|500037027|50|VT|1|027|Windsor|43.728679|-72.6189876|10/29/1980|
1456266|Barnet|Populated Place|02800|U5|0038|500038005|50|VT|1|005|Caledonia|44.2970051|-72.0492605|10/29/1980|01/29/2011
1456272|Barnumtown|Populated Place|03025|U6|||50|VT|1|001|Addison|44.2081107|-73.163455|10/29/1980|
1456274|Barre|Populated Place|03175|P1|0040|500040023|50|VT|1|023|Washington|44.1970055|-72.5020494|10/29/1980|02/27/2008
1456281|Barton|Populated Place|03475|P1|0050|500050019|50|VT|1|019|Orleans|44.7481049|-72.1762128|10/29/1980|02/27/2008
1456284|Bartonsville|Populated Place|03625|U6|||50|VT|1|025|Windham|43.2256315|-72.5356456|10/29/1980|
1456301|Malletts Bay|Populated Place|42625|U6|||50|VT|1|007|Chittenden|44.5444922|-73.2154067|10/29/1980|
1456365|Beebe Plain|Populated Place|04075|U6|0055|500055019|50|VT|1|019|Orleans|45.0053237|-72.140656|10/29/1980|
1456368|Beecher Falls|Populated Place|04150|U5|0056|500056009|50|VT|1|009|Essex|45.0081017|-71.5078617|10/29/1980|01/29/2011
1456381|Bellows Falls|Populated Place|04225|P1|0060|500060025|50|VT|1|025|Windham|43.1334111|-72.4439772|10/29/1980|02/27/2008
1456385|Belvidere Junction|Populated Place|04675|U6|||50|VT|1|015|Lamoille|44.7369933|-72.7426254|10/29/1980|
1456386|Belvidere Center|Populated Place|04525|U6|0062|500062015|50|VT|1|015|Lamoille|44.7500487|-72.6912337|10/29/1980|
1456394|Benson|Populated Place|05125|U5|0073|500073021|50|VT|1|021|Rutland|43.7070079|-73.3112252|10/29/1980|01/29/2011
1456396|Benson Landing|Populated Place|05275|U6|||50|VT|1|021|Rutland|43.7283959|-73.3676158|10/29/1980|
1456397|Berkshire|Populated Place|05350|U6|||50|VT|1|011|Franklin|44.9717124|-72.7754148|10/29/1980|
1456399|Berlin Corners|Populated Place|05660|U6|0071|500071023|50|VT|1|023|Washington|44.2100604|-72.5759414|10/29/1980|
1456402|Bethel|Populated Place|05725|U5|0072|500072027|50|VT|1|027|Windsor|43.8333999|-72.6339903|10/29/1980|01/29/2011
