FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|CENSUS_CODE|CENSUS_CLASS_CODE|GSA_CODE|OPM_CODE|STATE_NUMERIC|STATE_ALPHA|COUNTY_SEQUENCE|COUNTY_NUMERIC|COUNTY_NAME|PRIMARY_LATITUDE|PRIMARY_LONGITUDE|DATE_CREATED|DATE_EDITED
376165|Leon|Populated Place|46210|U6|||16|ID|1|069|Nez Perce|46.5318297|-117.040161|06/21/1979|
376165|Leon|Populated Place|46210|U6|||53|WA|2|075|Whitman|46.5318297|-117.040161|06/21/1979|
398360|Willard|Populated Place|87790|U6|||16|ID|1|009|Benewah|47.2404545|-117.0390648|06/21/1979|
398360|Willard|Populated Place|87790|U6|||53|WA|2|075|Whitman|47.2404545|-117.0390648|06/21/1979|
1502906|Yakama Nation Reservation|Civil|4690R|D1|||53|WA|1|077|Yakima|46.2331395|-120.8218686|12/31/1992|01/15/2013
1502906|Yakama Nation Reservation|Civil|4690R|D1|||53|WA|2|041|Lewis|46.2331395|-120.8218686|12/31/1992|01/15/2013
1502906|Yakama Nation Reservation|Civil|4690R|D1|||53|WA|3|039|Klickitat|46.2331395|-120.8218686|12/31/1992|01/15/2013
1502945|Adna|Populated Place|00590|U6|0017|530017041|53|WA|1|041|Lewis|46.6289921|-123.0612431|09/10/1979|06/23/2015
1503007|Almira|Populated Place|01500|P1|0040|530040043|53|WA|1|043|Lincoln|47.7109823|-118.9408459|09/10/1979|06/23/2015
1503012|Altoona|Populated Place|01745|U5|||53|WA|1|069|Wahkiakum|46.2667745|-123.6562504|09/10/1979|01/29/2011
1503022|Anatone|Populated Place|02025|U6|0051|530051003|53|WA|1|003|Asotin|46.1348764|-117.1323791|09/10/1979|11/08/2006
1503074|Asotin|Populated Place|03075|P1|0090|530090003|53|WA|1|003|Asotin|46.3393265|-117.0482116|09/10/1979|03/21/2008
1503161|Barberton|Populated Place|04195|U5|||53|WA|1|011|Clark|45.6931723|-122.5989858|09/10/1979|03/21/2008
