FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|CENSUS_CODE|CENSUS_CLASS_CODE|GSA_CODE|OPM_CODE|STATE_NUMERIC|STATE_ALPHA|COUNTY_SEQUENCE|COUNTY_NUMERIC|COUNTY_NAME|PRIMARY_LATITUDE|PRIMARY_LONGITUDE|DATE_CREATED|DATE_EDITED
1477028|Yards|Populated Place|88096|U6|2687|542687055|54|WV|1|055|Mercer|37.2923387|-81.3101007|03/01/1991|09/20/2011
1477028|Yards|Populated Place|88096|U6|2687|512687185|51|VA|2|185|Tazewell|37.2923387|-81.3101007|03/01/1991|09/20/2011
1493070|Height|Populated Place|36290|U6|||51|VA|1|027|Buchanan|37.2806683|-81.8140035|09/28/1979|
1493070|Height|Populated Place|36290|U6|||54|WV|2|047|McDowell|37.2806683|-81.8140035|09/28/1979|
1493406|Peapatch|Populated Place|61176|U6|||51|VA|1|027|Buchanan|37.2840017|-81.7884461|09/28/1979|
1493406|Peapatch|Populated Place|61176|U6|||54|WV|2|047|McDowell|37.2840017|-81.7884461|09/28/1979|
1497078|Paynesville|Populated Place|61108|U6|2075|512075027|51|VA|1|027|Buchanan|37.3317784|-81.8906751|09/28/1979|
1497078|Paynesville|Populated Place|61108|U6|2075|542075047|54|WV|2|047|McDowell|37.3317784|-81.8906751|09/28/1979|
1534798|Accoville|Populated Place|00196|U5|0010|540010045|54|WV|1|045|Logan|37.7687182|-81.8370625|06/27/1980|01/29/2011
1534808|Adamsville|Populated Place|00340|U6|||54|WV|1|033|Harrison|39.3953646|-80.2445291|06/27/1980|
1534846|Airport Village|Populated Place|00676|U4|||54|WV|1|039|Kanawha|38.3667644|-81.5817892|06/27/1980|
1534854|Alderson|Populated Place|00772|P1|0040|540040025|54|WV|1|025|Greenbrier|37.725954|-80.6420237|06/27/1980|03/17/2008
1534854|Alderson|Populated Place|00772|P1|0040|540040063|54|WV|2|063|Monroe|37.725954|-80.6420237|06/27/1980|03/17/2008
1534873|Algoma|Populated Place|00844|U6|0050|540050047|54|WV|1|047|McDowell|37.4190038|-81.4259365|06/27/1980|
1534877|Alkol|Populated Place|00892|U6|0053|540053043|54|WV|1|043|Lincoln|38.1628748|-81.9248504|06/27/1980|
1534912|Amandaville|Populated Place|01492|U6|||54|WV|1|039|Kanawha|38.3973149|-81.8559641|06/27/1980|
1534915|Amblersburg|Populated Place|01516|U6|||54|WV|1|077|Preston|39.3864847|-79.6292226|06/27/1980|
1534917|Ameagle|Populated Place|01588|U6|0068|540068081|54|WV|1|081|Raleigh|37.9498312|-81.4187198|06/27/1980|
1534919|Amherstdale|Populated Place|01660|U5|0070|540070045|54|WV|1|045|Logan|37.7853849|-81.809284|06/27/1980|01/29/2011
1534921|Amigo|Populated Place|01684|U6|0072|540072081|54|WV|1|081|Raleigh|37.5965035|-81.3209351|06/27/1980|
1534922|Amma|Populated Place|01732|U6|0075|540075087|54|WV|1|087|Roane|38.5687072|-81.2656728|06/27/1980|
1534931|Anawalt|Populated Place|01780|P1|0080|540080047|54|WV|1|047|McDowell|37.3359486|-81.4364928|06/27/1980|03/17/2008
1534950|Andrew|Populated Place|01828|U6|||54|WV|1|005|Boone|38.1001017|-81.7173423|06/27/1980|
1534961|Anmoore|Populated Place|01900|P1|0090|540090033|54|WV|1|033|Harrison|39.2567572|-80.2923107|06/27/1980|03/17/2008
1534964|Annamoriah|Populated Place|01948|U6|0094|540094013|54|WV|1|013|Calhoun|38.9406392|-81.227061|06/27/1980|
