FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|CENSUS_CODE|CENSUS_CLASS_CODE|GSA_CODE|OPM_CODE|STATE_NUMERIC|STATE_ALPHA|COUNTY_SEQUENCE|COUNTY_NUMERIC|COUNTY_NAME|PRIMARY_LATITUDE|PRIMARY_LONGITUDE|DATE_CREATED|DATE_EDITED
376143|Border|Populated Place|08800|U6|||16|ID|1|007|Bear Lake|42.1829887|-111.0474131|06/21/1979|
376143|Border|Populated Place|08800|U6|||56|WY|2|023|Lincoln|42.1829887|-111.0474131|06/21/1979|
397726|Freedom|Populated Place|30115|U5|0305|160305029|16|ID|1|029|Caribou|42.9826991|-111.0438243|06/21/1979|01/29/2011
397726|Freedom|Populated Place|30115|U5|0305|560305023|56|WY|2|023|Lincoln|42.9826991|-111.0438243|06/21/1979|01/29/2011
1584695|Acme|Populated Place|00100|U6|0003|560003033|56|WY|1|033|Sheridan|44.9105275|-106.9850706|06/05/1979|
1584720|Air Base Acres|Populated Place|00250|U6|||56|WY|1|025|Natrona|42.8821874|-106.4411431|06/05/1979|
1584728|Albin|Populated Place|00825|P1|0020|560020021|56|WY|1|021|Laramie|41.4177559|-104.0982866|06/05/1979|03/21/2008
1584732|Alcova|Populated Place|01115|U5|0022|560022025|56|WY|1|025|Natrona|42.5521842|-106.7164296|06/05/1979|03/21/2008
1584797|Allendale|Populated Place|01260|U6|||56|WY|1|025|Natrona|42.8146871|-106.3105807|06/05/1979|
1584802|Almy|Populated Place|01405|U6|||56|WY|1|041|Uinta|41.3316124|-111.0046287|06/05/1979|
1584810|Altvan|Populated Place|02345|U6|||56|WY|1|021|Laramie|41.1230368|-104.6999659|06/05/1979|
1584915|Arapahoe|Populated Place|03000|U5|0027|560027013|56|WY|1|013|Fremont|42.9621822|-108.4898309|06/05/1979|03/21/2008
1584934|Arminto|Populated Place|03290|U6|0032|560032025|56|WY|1|025|Natrona|43.1788513|-107.2575661|06/05/1979|
1584973|Aspen|Populated Place|03870|U6|||56|WY|1|041|Uinta|41.2057809|-110.7518395|06/05/1979|
1584989|Atlantic City|Populated Place|04015|U5|||56|WY|1|013|Fremont|42.4966221|-108.7306677|06/05/1979|03/21/2008
1585049|Baggs|Populated Place|04740|P1|0030|560030007|56|WY|1|007|Carbon|41.0357978|-107.6575694|06/05/1979|03/21/2008
1585058|Bairoil|Populated Place|04885|P1|0033|560033037|56|WY|1|037|Sweetwater|42.244401|-107.5595141|06/05/1979|03/21/2008
1585173|Basin|Populated Place|05320|P1|0040|560040003|56|WY|1|003|Big Horn|44.3799574|-108.0389895|06/05/1979|03/21/2008
1585386|Colony|Populated Place|16195|U6|||56|WY|1|011|Crook|44.8699865|-104.1552184|06/05/1979|
1585416|Beulah|Populated Place|06480|U5|0047|560047011|56|WY|1|011|Crook|44.5444299|-104.089102|06/05/1979|01/29/2011
