FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|CENSUS_CODE|CENSUS_CLASS_CODE|GSA_CODE|OPM_CODE|STATE_NUMERIC|STATE_ALPHA|COUNTY_SEQUENCE|COUNTY_NUMERIC|COUNTY_NAME|PRIMARY_LATITUDE|PRIMARY_LONGITUDE|DATE_CREATED|DATE_EDITED
1397658|Ester|Populated Place|23460|U5|0760|020760090|02|AK|1|090|Fairbanks North Star|64.8472222|-148.0144444|01/01/2000|01/25/2013
1397685|Two Rivers|Populated Place|79830|U5|2668|022668090|02|AK|1|090|Fairbanks North Star|64.8722222|-147.0383333|01/01/2000|02/04/2011
1397926|Afognak|Populated Place|00425|U6|0008|020008150|02|AK|1|150|Kodiak Island|58.0221236|-152.7652264|01/01/2000|02/10/2011
1397967|Aguikchuk|Populated Place|00540|U6|0010|020010050|02|AK|1|050|Bethel (CA)|60.475|-164.4355556|03/31/1981|
1398007|Akhiok|Populated Place|00650|P1|0020|020020150|02|AK|1|150|Kodiak Island|56.9455556|-154.1702778|01/01/2000|02/10/2011
1398011|Akiachak|Populated Place|00760|U5|0030|020030050|02|AK|1|050|Bethel (CA)|60.9094444|-161.4313889|03/31/1981|05/13/2010
1398012|Akiak|Populated Place|00870|P1|0040|020040050|02|AK|1|050|Bethel (CA)|60.9122222|-161.2138889|03/31/1981|05/13/2010
1398027|Akulurak|Populated Place|01020|U6|0050|020050050|02|AK|1|050|Bethel (CA)|60.2775|-162.4413889|03/31/1981|
1398029|Akumsuk|Populated Place|01050|U6|0055|020055158|02|AK|1|158|Kusilvak (CA)|62.7230556|-164.4722222|03/31/1981|02/11/2008
1398042|Alakanuk|Populated Place|01200|P1|0070|020070158|02|AK|1|158|Kusilvak (CA)|62.6888889|-164.6152778|03/31/1981|05/13/2010
1398091|Aleknagik|Populated Place|01420|P1|0090|020090070|02|AK|1|070|Dillingham (CA)|59.2730556|-158.6177778|03/31/1981|05/13/2010
1398093|Aleksashkina|Populated Place|01550|U6|||02|AK|1|150|Kodiak Island|57.78|-152.3552778|03/31/1981|02/20/2008
1398097|Alexander|Populated Place|||0092|020092170|02|AK|1|170|Matanuska-Susitna|61.4172222|-150.5969444|03/31/1981|04/30/2010
1398102|Alexanders Village|Populated Place|01670|U6|0094|020094290|02|AK|1|290|Yukon-Koyukuk (CA)|66.7883333|-145.4369444|03/31/1981|
1398129|Allakaket|Populated Place|01860|P1|0100|020100290|02|AK|1|290|Yukon-Koyukuk (CA)|66.5655556|-152.6455556|01/01/2000|02/10/2011
1398235|Anaktuvuk Pass|Populated Place|02080|P1|0110|020110185|02|AK|1|185|North Slope|68.1433333|-151.7358333|03/31/1981|02/10/2011
1398242|Anchorage|Populated Place|03000|P1|0130|020130020|02|AK|1|020|Anchorage|61.2180556|-149.9002778|01/01/2000|04/22/2011
1398245|Anderson|Populated Place|03220|P1|0132|020132068|02|AK|1|068|Denali|64.3441667|-149.1869444|03/31/1981|04/11/2008
1398261|Saint Marys|Populated Place|66030|C4|||02|AK|1|158|Kusilvak (CA)|62.0530556|-163.1658333|01/01/2000|05/18/2010
1398286|Aniak|Populated Place|03550|P1|0150|020150050|02|AK|1|050|Bethel (CA)|61.5783333|-159.5222222|03/31/1981|05/13/2010
1398315|Anogok|Populated Place|03840|U6|0165|020165050|02|AK|1|050|Bethel (CA)|59.8211111|-164.0286111|01/01/2000|03/14/2008
1398335|Anvik|Populated Place|03880|P1|0170|020170290|02|AK|1|290|Yukon-Koyukuk (CA)|62.6561111|-160.2066667|03/31/1981|02/10/2011
