FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|CENSUS_CODE|CENSUS_CLASS_CODE|GSA_CODE|OPM_CODE|STATE_NUMERIC|STATE_ALPHA|COUNTY_SEQUENCE|COUNTY_NUMERIC|COUNTY_NAME|PRIMARY_LATITUDE|PRIMARY_LONGITUDE|DATE_CREATED|DATE_EDITED
213563|Anglesey|Populated Place|01010|U6|||10|DE|1|003|New Castle|39.7590015|-75.6160382|08/02/1979|
213569|Arden|Populated Place|01400|P1|0006|100006003|10|DE|1|003|New Castle|39.8092794|-75.4865866|08/02/1979|12/12/2014
213571|Argo Corners|Populated Place|01790|U6|||10|DE|1|005|Sussex|38.8715016|-75.3454709|08/02/1979|
213607|Bayville|Populated Place|04000|U6|||10|DE|1|005|Sussex|38.468446|-75.0887938|08/02/1979|
213628|Bellefonte|Populated Place|04650|P1|0010|100010003|10|DE|1|003|New Castle|39.7662246|-75.5093647|08/02/1979|03/17/2008
213630|Belltown|Populated Place|05170|U6|||10|DE|1|005|Sussex|38.7470565|-75.1779626|08/02/1979|
213633|Belvidere|Populated Place|05320|U6|||10|DE|1|003|New Castle|39.722057|-75.6154824|07/01/1982|
213638|Bethany Beach|Populated Place|05690|P1|0020|100020005|10|DE|1|005|Sussex|38.5395564|-75.0551807|08/02/1979|03/17/2008
213641|Bethel|Populated Place|05820|P1|0030|100030005|10|DE|1|005|Sussex|38.5706707|-75.6193717|08/02/1979|03/17/2008
213661|Big Oak Corners|Populated Place|05910|U6|||10|DE|1|001|Kent|39.2695561|-75.5885377|08/02/1979|
213680|Blades|Populated Place|06730|P1|0040|100040005|10|DE|1|005|Sussex|38.6356701|-75.609927|08/02/1979|03/17/2008
213692|Bowers Beach|Populated Place|07270|C4|0050|100050001|10|DE|1|001|Kent|39.0598349|-75.4013071|08/02/1979|
213696|Brandywine|Populated Place|07640|U6|||10|DE|1|003|New Castle|39.8295563|-75.5343681|08/02/1979|
213706|Bridgeville|Populated Place|08680|P1|0060|100060005|10|DE|1|005|Sussex|38.7426137|-75.6043714|08/02/1979|12/12/2014
213713|Broadkill Beach|Populated Place|09200|U6|||10|DE|1|005|Sussex|38.8281678|-75.2118532|08/02/1979|
213720|Brookland Terrace|Populated Place|09720|U6|||10|DE|1|003|New Castle|39.7434459|-75.6235384|08/02/1979|
213721|Brookside|Populated Place|09850|U5|||10|DE|1|003|New Castle|39.6670561|-75.7268779|08/02/1979|05/12/2008
213746|Camden|Populated Place|10760|P1|0070|100070001|10|DE|1|001|Kent|39.1134458|-75.5418687|08/02/1979|03/17/2008
213752|Cannon|Populated Place|11280|U6|0073|100073005|10|DE|1|005|Sussex|38.6995584|-75.6149273|08/02/1979|
213754|Capitol Green|Populated Place|11540|U4|||10|DE|1|001|Kent|39.1551124|-75.516868|08/02/1979|
213755|Capitol Park|Populated Place|11670|U6|||10|DE|1|001|Kent|39.1415014|-75.5040896|08/02/1979|
213760|Carpenter|Populated Place|12060|U6|||10|DE|1|003|New Castle|39.8184459|-75.4643633|08/02/1979|
213762|Carrcroft|Populated Place|12320|U6|||10|DE|1|003|New Castle|39.787613|-75.5060317|08/02/1979|
213764|Castle Hills|Populated Place|12710|U6|||10|DE|1|003|New Castle|39.6865018|-75.5646462|08/02/1979|
213782|Centerville|Populated Place|13360|U6|0075|100075003|10|DE|1|003|New Castle|39.8215002|-75.6165957|08/02/1979|07/15/2014
213795|Cheswold|Populated Place|14660|P1|0080|100080001|10|DE|1|001|Kent|39.2192786|-75.5857596|08/02/1979|12/11/2014
213798|Christiana|Populated Place|14790|U6|0083|100083003|10|DE|1|003|New Castle|39.6651122|-75.6599296|08/02/1979|12/12/2014
213804|Claymont|Populated Place|15310|U5|0085|100085003|10|DE|1|003|New Castle|39.8006685|-75.4596404|08/02/1979|12/12/2014
213805|Clayton|Populated Place|15440|P1|0090|100090001|10|DE|1|001|Kent|39.2906671|-75.6343727|08/02/1979|03/17/2008
213805|Clayton|Populated Place|15440|P1|0090|100090003|10|DE|2|003|New Castle|39.2906671|-75.6343727|08/02/1979|03/17/2008
213817|Collins Park|Populated Place|16350|U6|0094|100094003|10|DE|1|003|New Castle|39.6862241|-75.5563124|08/02/1979|
213823|Concord|Populated Place|16870|U6|||10|DE|1|005|Sussex|38.6420589|-75.5552027|08/02/1979|
213841|Cranston Heights|Populated Place|18690|U6|||10|DE|1|003|New Castle|39.7334458|-75.6304833|08/02/1979|
213855|Dagsboro|Populated Place|18950|P1|0100|100100005|10|DE|1|005|Sussex|38.5492801|-75.2457443|08/02/1979|12/16/2014
213871|Delaplane Manor|Populated Place|19600|U6|||10|DE|1|003|New Castle|39.6962229|-75.7088215|08/02/1979|
213872|Delaware City|Populated Place|19730|P1|0110|100110003|10|DE|1|003|New Castle|39.5778901|-75.588815|08/02/1979|12/16/2014
213878|Delmar|Populated Place|20380|P1|0120|100120005|10|DE|1|005|Sussex|38.4565052|-75.5771471|08/02/1979|03/17/2008
213884|Dewey Beach|Populated Place|20900|P1|0125|100125005|10|DE|1|005|Sussex|38.6928899|-75.0746249|08/02/1979|03/17/2008
213891|Dobbinsville|Populated Place|21030|U4|||10|DE|1|003|New Castle|39.6565016|-75.5790916|08/02/1979|
213899|Downs Chapel|Populated Place|21550|U6|||10|DE|1|001|Kent|39.2120558|-75.7193756|08/02/1979|
213916|Dunleith|Populated Place|21810|U6|||10|DE|1|003|New Castle|39.7087242|-75.5554787|08/02/1979|
213917|Duross Heights|Populated Place|22200|U6|||10|DE|1|003|New Castle|39.6806681|-75.6224274|08/02/1979|
213922|Eastburn Heights|Populated Place|22300|U6|||10|DE|1|003|New Castle|39.7092787|-75.6807643|08/02/1979|
213929|Edge Hill|Populated Place|22850|U4|||10|DE|1|001|Kent|39.168168|-75.516868|08/02/1979|
213930|Edgemoor|Populated Place|23240|U5|||10|DE|1|003|New Castle|39.7501139|-75.4996414|08/02/1979|05/12/2008
213934|Ellendale|Populated Place|24020|P1|0140|100140005|10|DE|1|005|Sussex|38.8070575|-75.4226971|08/02/1979|03/17/2008
213941|Elsmere|Populated Place|24540|P1|0150|100150003|10|DE|1|003|New Castle|39.7392796|-75.5979812|08/02/1979|03/17/2008
213945|Fairfax|Populated Place|25060|U6|||10|DE|1|003|New Castle|39.7865016|-75.5432564|08/02/1979|
213949|Farmington|Populated Place|25840|P1|0160|100160001|10|DE|1|001|Kent|38.8692801|-75.5785368|08/02/1979|03/17/2008
213951|Faulkland|Populated Place|26100|U6|||10|DE|1|003|New Castle|39.7476125|-75.6354836|08/02/1979|
213952|Felton Station|Populated Place|26780|U6|||10|DE|1|001|Kent|39.0081687|-75.5746473|08/02/1979|
213954|Fenwick Island|Populated Place|26880|P1|0174|100174005|10|DE|1|005|Sussex|38.4623346|-75.0512922|08/02/1979|03/17/2008
