FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|CENSUS_CODE|CENSUS_CLASS_CODE|GSA_CODE|OPM_CODE|STATE_NUMERIC|STATE_ALPHA|COUNTY_SEQUENCE|COUNTY_NUMERIC|COUNTY_NAME|PRIMARY_LATITUDE|PRIMARY_LONGITUDE|DATE_CREATED|DATE_EDITED
619807|Acme|Populated Place|00180|U6|0005|260005055|26|MI|1|055|Grand Traverse|44.7719461|-85.5014607|04/14/1980|
619810|Ada|Populated Place|00220|U6|0006|260006081|26|MI|1|081|Kent|42.9541963|-85.4889121|04/14/1980|
619826|Adams Park|Populated Place|00340|U6|||26|MI|1|077|Kalamazoo|42.1539342|-85.4727744|04/14/1980|
619836|Adamsville|Populated Place|00360|U6|0007|260007027|26|MI|1|027|Cass|41.7853265|-85.9938917|04/14/1980|02/21/2008
619840|Addison|Populated Place|00380|P1|0010|260010091|26|MI|1|091|Lenawee|41.9864341|-84.3471684|04/14/1980|03/20/2008
619846|Adrian|Populated Place|00440|P1|0020|260020091|26|MI|1|091|Lenawee|41.8975471|-84.0371659|04/14/1980|03/20/2008
619851|Advance|Populated Place|00480|U5|||26|MI|1|029|Charlevoix|45.221397|-85.0775567|04/14/1980|01/29/2011
619868|Agnew|Populated Place|00600|U6|||26|MI|1|139|Ottawa|42.9650201|-86.1767153|04/14/1980|
619871|Ahgosatown|Populated Place|00610|U6|||26|MI|1|089|Leelanau|45.0811105|-85.5917502|04/14/1980|
619873|Ahmeek|Populated Place|00620|P1|0030|260030083|26|MI|1|083|Keweenaw|47.2988116|-88.3965014|04/14/1980|04/25/2018
619882|Akron|Populated Place|00700|P1|0040|260040157|26|MI|1|157|Tuscola|43.5680759|-83.5141259|04/14/1980|03/20/2008
619883|Alabaster|Populated Place|00740|U6|||26|MI|1|069|Iosco|44.1864058|-83.558032|04/14/1980|
619888|Alamo|Populated Place|00820|U6|0047|260047077|26|MI|1|077|Kalamazoo|42.3753143|-85.7077914|04/14/1980|
619891|Alanson|Populated Place|00860|P1|0050|260050047|26|MI|1|047|Emmet|45.4441778|-84.7867115|04/14/1980|03/20/2008
