FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|CENSUS_CODE|CENSUS_CLASS_CODE|GSA_CODE|OPM_CODE|STATE_NUMERIC|STATE_ALPHA|COUNTY_SEQUENCE|COUNTY_NUMERIC|COUNTY_NAME|PRIMARY_LATITUDE|PRIMARY_LONGITUDE|DATE_CREATED|DATE_EDITED
47555|Caverna|Populated Place|12330|U6|||29|MO|1|119|McDonald|36.4996324|-94.2693472|04/30/1980|02/16/2012
47555|Caverna|Populated Place|12330|U6|||05|AR|2|007|Benton|36.4996324|-94.2693472|04/30/1980|02/16/2012
57145|Ott|Populated Place|52610|U6|||05|AR|1|049|Fulton|36.4983333|-92.0786111|04/30/1980|03/08/2007
57145|Ott|Populated Place|52610|U6|||29|MO|2|091|Howell|36.4983333|-92.0786111|04/30/1980|03/08/2007
61892|Arkmo|Populated Place|01846|U6|||05|AR|1|093|Mississippi|35.996737|-90.2475981|02/01/1992|
61892|Arkmo|Populated Place|01846|U6|||29|MO|2|069|Dunklin|35.996737|-90.2475981|02/01/1992|
469596|Opolis|Populated Place|52925|U6|4203|204203037|20|KS|1|037|Crawford|37.3444975|-94.6210673|10/13/1978|
469596|Opolis|Populated Place|52925|U6|4203|294203097|29|MO|2|097|Jasper|37.3444975|-94.6210673|10/13/1978|
713127|Abesville|Populated Place|00100|U6|||29|MO|1|209|Stone|36.8397806|-93.3707428|10/24/1980|09/13/2006
713132|Acorn Corner|Populated Place|00136|U6|||29|MO|1|155|Pemiscot|36.0884042|-89.7706381|10/24/1980|
713133|Acorn Ridge|Populated Place|00154|U6|||29|MO|1|207|Stoddard|36.9133855|-90.0581516|10/24/1980|
713135|Adair|Populated Place|00172|U6|||29|MO|1|001|Adair|40.2522575|-92.3765782|10/24/1980|
713161|Adrian|Populated Place|00244|P1|0010|290010013|29|MO|1|013|Bates|38.397518|-94.3516159|10/24/1980|03/20/2008
713163|Advance|Populated Place|00262|P1|0020|290020207|29|MO|1|207|Stoddard|37.1044958|-89.9106494|10/24/1980|03/20/2008
713173|Aid|Populated Place|00352|U6|||29|MO|1|207|Stoddard|36.876997|-90.0412061|10/24/1980|
713175|Airline Acres|Populated Place|00388|U6|||29|MO|1|133|Mississippi|36.8033882|-89.3581295|10/24/1980|
713176|Airport Drive|Populated Place|00424|P1|0040|290040097|29|MO|1|097|Jasper|37.1425588|-94.5107824|10/24/1980|03/20/2008
713181|Akron|Populated Place|00445|U6|||29|MO|1|081|Harrison|40.5194475|-93.8174478|10/24/1980|
713184|Alba|Populated Place|00496|P1|0050|290050097|29|MO|1|097|Jasper|37.2383894|-94.4174489|10/24/1980|03/20/2008
713185|Albany|Populated Place|00514|P1|0060|290060075|29|MO|1|075|Gentry|40.2486069|-94.331068|10/24/1980|03/20/2008
713186|Albatross|Populated Place|00555|U6|||29|MO|1|109|Lawrence|37.1892202|-93.8390976|10/24/1980|
713197|Aldrich|Populated Place|00568|P1|0070|290070167|29|MO|1|167|Polk|37.5475408|-93.5546465|10/24/1980|03/20/2008
713208|Allbright|Populated Place|00676|U6|||29|MO|1|123|Madison|37.3289415|-90.2267785|10/24/1980|
713227|Allenville|Populated Place|00748|P1|||29|MO|1|031|Cape Girardeau|37.2217192|-89.7575929|10/24/1980|03/20/2008
713232|Alley Spring|Populated Place|00766|U6|||29|MO|1|203|Shannon|37.1442159|-91.4440263|10/24/1980|
713242|Alma|Populated Place|00802|P1|0100|290100107|29|MO|1|107|Lafayette|39.0952954|-93.5452125|10/24/1980|03/20/2008
713249|Altamont|Populated Place|00910|P1|0110|290110061|29|MO|1|061|Daviess|39.8886155|-94.0891132|10/24/1980|03/20/2008
713250|Altenburg|Populated Place|00928|P1|0120|290120157|29|MO|1|157|Perry|37.6308839|-89.5853764|10/24/1980|03/20/2008
713252|Alton|Populated Place|00964|P1|0130|290130149|29|MO|1|149|Oregon|36.6942252|-91.3993039|10/24/1980|03/20/2008
713254|Altona|Populated Place|00980|U6|0140|290140013|29|MO|1|013|Bates|38.3997405|-94.2349463|10/24/1980|
713267|Amoret|Populated Place|01072|P1|0170|290170013|29|MO|1|013|Bates|38.2553017|-94.5877329|10/24/1980|03/20/2008
713270|Amy|Populated Place|01108|U6|||29|MO|1|091|Howell|36.6056177|-92.0037634|10/24/1980|
713275|Anderson|Populated Place|01198|P1|0200|290200119|29|MO|1|119|McDonald|36.650627|-94.44355|10/24/1980|03/20/2008
713302|Annada|Populated Place|01252|P1|0210|290210163|29|MO|1|163|Pike|39.2611584|-90.8276282|10/24/1980|03/20/2008
713303|Annapolis|Populated Place|01270|P1|0220|290220093|29|MO|1|093|Iron|37.3603272|-90.6976197|10/24/1980|03/20/2008
713304|Anniston|Populated Place|01288|P1|0230|290230133|29|MO|1|133|Mississippi|36.8258878|-89.3278513|10/24/1980|03/20/2008
713309|Antioch|Populated Place|01342|U6|||29|MO|1|045|Clark|40.3247646|-91.6932188|10/24/1980|
713351|Anutt|Populated Place|01414|U6|||29|MO|1|065|Dent|37.7158757|-91.7198751|10/24/1980|
713352|Apache Flats|Populated Place|01432|U6|||29|MO|1|051|Cole|38.5836433|-92.2996296|10/24/1980|
713363|Aquilla|Populated Place|01540|U6|||29|MO|1|207|Stoddard|36.9469955|-89.9148125|10/24/1980|
713366|Arbor|Populated Place|01594|U6|||29|MO|1|031|Cape Girardeau|37.1592184|-89.8023141|10/24/1980|
713370|Arbyrd|Populated Place|01630|P1|0280|290280069|29|MO|1|069|Dunklin|36.0509021|-90.2387092|10/24/1980|03/20/2008
713374|Archie|Populated Place|01702|P1|0300|290300037|29|MO|1|037|Cass|38.4816813|-94.3543929|10/24/1980|03/20/2008
713375|Ardeola|Populated Place|01738|U6|||29|MO|1|207|Stoddard|37.001161|-89.8528659|10/24/1980|
713376|Arditta|Populated Place|01756|U6|||29|MO|1|091|Howell|36.6164509|-92.0626538|10/24/1980|
713377|Ardmore|Populated Place|01774|U6|||29|MO|1|121|Macon|39.6430885|-92.5357417|10/24/1980|
713384|Arkoe|Populated Place|01864|P1|0320|290320147|29|MO|1|147|Nodaway|40.2580466|-94.827747|10/24/1980|03/20/2008
713388|Armstrong|Populated Place|01954|P1|0330|290330089|29|MO|1|089|Howard|39.2697545|-92.7012937|10/24/1980|03/20/2008
