FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|CENSUS_CODE|CENSUS_CLASS_CODE|GSA_CODE|OPM_CODE|STATE_NUMERIC|STATE_ALPHA|COUNTY_SEQUENCE|COUNTY_NUMERIC|COUNTY_NAME|PRIMARY_LATITUDE|PRIMARY_LONGITUDE|DATE_CREATED|DATE_EDITED
575838|South Effingham|Populated Place|70657|U6|0476|230476031|23|ME|1|031|York|43.7020216|-70.9817321|09/30/1980|
575838|South Effingham|Populated Place|70657|U6|0476|330476003|33|NH|2|003|Carroll|43.7020216|-70.9817321|09/30/1980|
865197|Acworth|Populated Place|00180|U6|0006|330006019|33|NH|1|019|Sullivan|43.2178539|-72.2920317|08/27/1980|
865219|Allens Mills|Populated Place|00620|U6|||33|NH|1|001|Belknap|43.408412|-71.4514606|08/27/1980|
865220|Allenstown Elementary School|Populated Place|00650|U6|||33|NH|1|013|Merrimack|43.15786|-71.4056233|08/27/2002|
865222|Alstead|Populated Place|00740|U6|0002|330002005|33|NH|1|005|Cheshire|43.1489663|-72.3606431|08/27/1980|
865223|Alstead Center|Populated Place|00900|U6|||33|NH|1|005|Cheshire|43.118689|-72.3259203|08/27/1980|
865225|Alton|Populated Place|00980|U5|0003|330003001|33|NH|1|001|Belknap|43.4523018|-71.2175671|08/27/1980|01/29/2011
865227|Alton Bay|Populated Place|01140|U6|0007|330007001|33|NH|1|001|Belknap|43.4686905|-71.2320118|08/27/1980|
865231|Ames|Populated Place|01180|U6|||33|NH|1|001|Belknap|43.5625775|-71.3347926|08/27/1980|
865239|Amherst|Populated Place|01220|U5|0011|330011011|33|NH|1|011|Hillsborough|42.8614748|-71.6253487|08/27/1980|01/29/2011
865244|Andover|Populated Place|01380|U6|0004|330004013|33|NH|1|013|Merrimack|43.4370198|-71.8234138|08/27/1980|
865248|Antrim|Populated Place|01620|U5|0005|330005011|33|NH|1|011|Hillsborough|43.0309142|-71.9389689|08/27/1980|04/15/2014
865249|Antrim Center|Populated Place|01725|U6|||33|NH|1|011|Hillsborough|43.0503582|-71.9656364|08/27/1980|
865255|Apthorp|Populated Place|01820|U6|||33|NH|1|009|Grafton|44.3078392|-71.7423101|08/27/1980|
865260|Arlington Park|Populated Place|01860|U6|||33|NH|1|015|Rockingham|42.8303661|-71.2239496|08/27/1980|
865269|Ashland|Populated Place|01940|U5|0010|330010009|33|NH|1|009|Grafton|43.6953512|-71.6306325|08/27/1980|01/29/2011
865270|Ashuelot|Populated Place|02180|U6|0009|330009005|33|NH|1|005|Cheshire|42.7775828|-72.4236985|08/27/1980|
865274|Atkinson|Populated Place|02260|U6|0012|330012015|33|NH|1|015|Rockingham|42.8384221|-71.1470037|08/27/1980|
865277|Atkinson Heights|Populated Place|02580|U6|||33|NH|1|015|Rockingham|42.8234222|-71.1653373|08/27/1980|
865278|Atlantic|Populated Place|02640|U6|||33|NH|1|015|Rockingham|42.8712017|-70.8611642|08/27/1980|
865279|Atlantic Heights|Populated Place|02660|U4|||33|NH|1|015|Rockingham|43.0923102|-70.7725539|08/27/1980|
865283|Auburn|Populated Place|02740|U6|0013|330013015|33|NH|1|015|Rockingham|43.0045289|-71.348398|08/27/1980|
865285|Austin Corners|Populated Place|02860|U6|||33|NH|1|015|Rockingham|42.9112002|-70.9642229|08/27/1980|
865318|Baglett Grove|Populated Place|02940|U6|||33|NH|1|015|Rockingham|42.8831433|-71.1792269|08/27/1980|
865319|Bagley|Populated Place|02980|U6|||33|NH|1|013|Merrimack|43.2667444|-71.7786897|08/27/1980|
865368|Bank|Populated Place|03040|U6|||33|NH|1|011|Hillsborough|42.7503644|-71.8370204|08/27/1980|
865385|Barnstead|Populated Place|03140|U6|0014|330014001|33|NH|1|001|Belknap|43.3339692|-71.2928447|08/27/1980|
865393|Barrington|Populated Place|03380|U6|0029|330029017|33|NH|1|017|Strafford|43.2228599|-71.0470077|08/27/1980|
865421|Bayside|Populated Place|04020|U6|||33|NH|1|015|Rockingham|43.0514766|-70.8675557|08/27/2002|
865450|Bear Island|Populated Place|04285|U6|||33|NH|1|001|Belknap|43.6572977|-71.4172948|08/27/1980|
865503|Bedford|Populated Place|04420|U6|0018|330018011|33|NH|1|011|Hillsborough|42.9464737|-71.5159015|08/27/1980|
865537|Belmont|Populated Place|04660|U5|0017|330017001|33|NH|1|001|Belknap|43.4453558|-71.4778505|08/27/1980|01/29/2011
865543|Bennett Corners|Populated Place|04780|U6|||33|NH|1|003|Carroll|43.8275736|-71.3278495|08/27/1980|
865548|Bennington|Populated Place|04820|U5|0019|330019011|33|NH|1|011|Hillsborough|43.0031371|-71.924524|08/27/1980|01/29/2011
865559|Berrys Corner|Populated Place|05260|U6|||33|NH|1|017|Strafford|43.2750813|-71.0689529|08/27/1980|
865562|Bersum Gardens|Populated Place|05300|U4|||33|NH|1|015|Rockingham|43.0831438|-70.7700536|08/27/1980|
865565|Bethlehem|Populated Place|05380|U5|0016|330016009|33|NH|1|009|Grafton|44.2803402|-71.6881414|08/27/1980|01/29/2011
865639|Blackwater|Populated Place|05750|U6|||33|NH|1|017|Strafford|43.2456387|-70.9136719|08/27/1980|
865714|Bonds Corner|Populated Place|06100|U6|||33|NH|1|005|Cheshire|42.9017493|-72.0245254|08/27/1980|
865716|Boscawen|Populated Place|06180|U6|0022|330022013|33|NH|1|013|Merrimack|43.3150786|-71.6209083|08/27/1980|
865724|Bow Bog|Populated Place|06540|U6|||33|NH|1|013|Merrimack|43.1206379|-71.5114587|08/27/1980|
865727|Bow Center|Populated Place|06580|U6|||33|NH|1|013|Merrimack|43.1320263|-71.5492377|08/27/1980|
865728|Bow Junction|Populated Place|06650|U6|||33|NH|1|013|Merrimack|43.1764704|-71.5259044|08/27/1980|
865736|Bowkerville|Populated Place|06660|U6|||33|NH|1|005|Cheshire|42.8059168|-72.1642495|08/27/1980|
865743|Boyce|Populated Place|06870|U6|||33|NH|1|013|Merrimack|43.2953572|-71.5767404|08/27/1980|
865752|Bradford|Populated Place|06900|U5|0024|330024013|33|NH|1|013|Merrimack|43.2700767|-71.9600824|08/27/1980|01/29/2011
865753|Bradford Center|Populated Place|07060|U6|||33|NH|1|013|Merrimack|43.2372993|-71.9714712|08/27/1980|
865770|Breakfast Hill|Populated Place|07085|U6|||33|NH|1|015|Rockingham|43.0106447|-70.8156091|08/27/2002|
865778|Brentwood|Populated Place|07140|U6|0025|330025015|33|NH|1|015|Rockingham|42.9786981|-71.0728369|08/27/1980|12/28/2012
865780|Brentwood Corners|Populated Place|07300|U6|||33|NH|1|015|Rockingham|43.0084197|-71.0761707|08/27/1980|
865781|Bretton Woods|Populated Place|07380|U6|0026|330026007|33|NH|1|007|Coos|44.2581201|-71.4411895|08/27/1980|
865784|Brick School Corner|Populated Place|07420|U6|||33|NH|1|015|Rockingham|42.9392555|-70.9497784|08/27/1980|
865791|Bridgewater|Populated Place|07460|U6|0027|330027009|33|NH|1|009|Grafton|43.6384067|-71.7364678|08/27/1980|
865797|Bristol|Populated Place|07620|U5|0030|330030009|33|NH|1|009|Grafton|43.5911851|-71.7367456|08/27/1980|02/27/2008
865799|Broad Acres|Populated Place|07820|U6|||33|NH|1|011|Hillsborough|42.7689771|-71.5067336|08/27/1980|
865808|Brookfield|Populated Place|07860|U6|0052|330052003|33|NH|1|003|Carroll|43.558968|-71.0653437|08/27/1980|
865809|Brookhurst|Populated Place|07980|U6|||33|NH|1|001|Belknap|43.5081344|-71.2639572|08/27/1980|
865810|Brookline|Populated Place|08020|U6|0031|330031011|33|NH|1|011|Hillsborough|42.7348102|-71.6581267|08/27/1980|
865824|Browns Corner|Populated Place|08140|U6|||33|NH|1|011|Hillsborough|42.9789726|-71.6109045|08/27/1980|
865896|Cable Road|Populated Place|08380|U6|||33|NH|1|015|Rockingham|42.9914788|-70.7644964|08/27/1980|
865930|Camp Gundalow|Populated Place|08470|U6|||33|NH|1|015|Rockingham|43.0300883|-70.847277|08/27/1980|
865931|Camp Hedding|Populated Place|08500|U6|||33|NH|1|015|Rockingham|43.0428639|-71.0317262|08/27/1980|
865947|Camp Notre Dame|Populated Place|08540|U6|||33|NH|1|005|Cheshire|42.9200813|-72.4373101|08/27/1980|
865969|Canaan|Populated Place|08900|U5|0034|330034009|33|NH|1|009|Grafton|43.6475724|-72.0117512|08/27/1980|01/29/2011
865970|Canaan Center|Populated Place|09060|U6|||33|NH|1|009|Grafton|43.6803497|-72.0525855|08/27/1980|
865972|Canaan Street|Populated Place|09140|U6|||33|NH|1|009|Grafton|43.6653499|-72.0423075|08/27/1980|
865976|Candia|Populated Place|09220|U6|0032|330032015|33|NH|1|015|Rockingham|43.0778615|-71.2767305|08/27/1980|
865977|Candia Four Corners|Populated Place|09460|U6|||33|NH|1|015|Rockingham|43.0614728|-71.2883973|08/27/1980|
865985|Canobie Lake|Populated Place|09620|U6|||33|NH|1|015|Rockingham|42.8056442|-71.245061|08/27/1980|
865988|Canterbury|Populated Place|09780|U6|0041|330041013|33|NH|1|013|Merrimack|43.3370233|-71.5653515|08/27/1980|
865989|Canterbury Station|Populated Place|09700|U6|||33|NH|1|013|Merrimack|43.3286896|-71.6086859|08/27/1980|
866011|Carroll|Populated Place|10090|U6|0026|330026007|33|NH|1|007|Coos|44.298396|-71.540637|08/27/1980|
866070|Cemetery Corners|Populated Place|10300|U6|||33|NH|1|015|Rockingham|42.9631451|-70.8403313|08/27/1980|
866074|Center Barnstead|Populated Place|10340|U6|0042|330042001|33|NH|1|001|Belknap|43.339247|-71.2595107|08/27/1980|
866079|Center Effingham|Populated Place|10500|U6|||33|NH|1|003|Carroll|43.739521|-71.0089551|08/27/1980|
866080|Center Harbor|Populated Place|10580|U6|0038|330038003|33|NH|1|003|Carroll|43.7097966|-71.4603513|08/27/1980|
866080|Center Harbor|Populated Place|10580|U6|0038|330038001|33|NH|2|001|Belknap|43.7097966|-71.4603513|08/27/1980|
866082|Center Ossipee|Populated Place|10820|U5|0035|330035003|33|NH|1|003|Carroll|43.7550761|-71.1520128|08/27/1980|01/29/2011
866088|Center Strafford|Populated Place|10980|U6|0044|330044017|33|NH|1|017|Strafford|43.2700812|-71.1253421|08/27/1980|
866089|Center Tuftonboro|Populated Place|11060|U6|0046|330046003|33|NH|1|003|Carroll|43.6542439|-71.2472913|08/27/1980|
866092|Central Park|Populated Place|11140|U4|||33|NH|1|017|Strafford|43.2334171|-70.882004|08/27/1980|
866111|Charlestown|Populated Place|11300|U5|0040|330040019|33|NH|1|019|Sullivan|43.2386868|-72.4245329|08/27/1980|02/27/2008
866125|Chase Village|Populated Place|11540|U6|||33|NH|1|011|Hillsborough|43.1106363|-71.75091|08/27/1980|
866126|Chases Grove|Populated Place|11485|U6|||33|NH|1|015|Rockingham|42.8617545|-71.2167275|08/27/1980|
866134|Chesham|Populated Place|11940|U6|||33|NH|1|005|Cheshire|42.930637|-72.1486944|08/27/1980|
866142|Chester|Populated Place|12020|U6|0045|330045015|33|NH|1|015|Rockingham|42.9567525|-71.2572846|08/27/1980|
866143|Chesterfield|Populated Place|12180|U6|0047|330047005|33|NH|1|005|Cheshire|42.8873038|-72.4703661|08/27/1980|
866151|Chichester|Populated Place|12340|U6|0049|330049013|33|NH|1|013|Merrimack|43.2492477|-71.399791|08/27/1980|
866152|Chickville|Populated Place|12500|U6|||33|NH|1|003|Carroll|43.7300765|-71.1561794|08/27/1980|
866160|Christian Hollow|Populated Place|12660|U6|||33|NH|1|005|Cheshire|43.0367463|-72.3895318|08/27/1980|
866161|Christian Shore|Populated Place|12740|U4|||33|NH|1|015|Rockingham|43.0864771|-70.7700537|08/27/1980|
866170|Cilleyville|Populated Place|12820|U6|||33|NH|1|013|Merrimack|43.4306308|-71.8661925|08/27/1980|
866173|Claremont|Populated Place|12900|P1|0050|330050019|33|NH|1|019|Sullivan|43.3767402|-72.3467561|08/27/1980|02/27/2008
866174|Claremont Junction|Populated Place|13060|U4|||33|NH|1|019|Sullivan|43.3684068|-72.3778673|08/27/1980|
866178|Clark Hill|Populated Place|13085|U6|||33|NH|1|015|Rockingham|43.0464757|-70.9547801|08/27/1980|
866182|Clark Landing|Populated Place|13110|U6|||33|NH|1|003|Carroll|43.7081312|-71.3486825|08/27/1980|
866213|Clinton Grove|Populated Place|13380|U6|||33|NH|1|011|Hillsborough|43.0781368|-71.7584098|08/27/1980|
866214|Clinton Village|Populated Place|13420|U6|||33|NH|1|011|Hillsborough|43.0409138|-71.9642473|08/27/1980|
866226|Cluffs Crossing|Populated Place|13485|U6|||33|NH|1|015|Rockingham|42.7653674|-71.2175601|08/27/1980|
866230|Coburn|Populated Place|13510|U6|||33|NH|1|017|Strafford|43.4589688|-71.1320106|08/27/1980|
866232|Cocheco|Populated Place|13560|U6|||33|NH|1|017|Strafford|43.2298052|-70.9386723|08/27/1980|
866244|Coffins Mill|Populated Place|13580|U6|||33|NH|1|015|Rockingham|42.9431451|-70.875332|08/27/1980|
866251|Colby|Populated Place|13600|U6|||33|NH|1|013|Merrimack|43.1495242|-71.7686885|08/27/1980|
866273|Cold River|Populated Place|13620|U6|||33|NH|1|005|Cheshire|43.1223002|-72.4273104|08/27/1980|
