Ames,Iowa,5001050011 
Astoria,Oregon,97103 
Austin,Texas,78701 
Ann Arbor,Michigan,9223372036854775807 
Albion,Michigan,49224 
Aberdeen,South Dakota,57401 
Alameda,California,9450194502 
Alexandria,Indiana,46001 
Alexandria,Louisiana,71301 
Andersonville,Georgia,31711 
Buffalo,New York,14200 
Boone,North Carolina,28607 
Berkeley,California,94701 
Cambridge,Massachusetts,9223372036854775807 
Colorado Springs,Colorado,80901 
Cadillac,Michigan,49601 
Cedar Falls,Iowa,50613 
Columbia,Missouri,9223372036854775807 
Columbus,Indiana,47201 
Carson City,Nevada,89701 
Concord,Michigan,49237 
Dedham,Massachusetts,2026 
Davenport,Iowa,52801 
Davis,California,95616 
Des Moines,Iowa,50301 
Ellensburg,Washington,98926 
Eugene,Oregon,97401 
Eureka,Missouri,63025 
Eth,Nord,59144 
Fort Wayne,Indiana,4677446802 
Fairmount,Indiana,46928 
Fort Collins,Colorado,80521 
Gary,Indiana,46401 
Goshen,Indiana,46526 
Hanover,New Hampshire,3755 
Harwich,Massachusetts,2645 
Jackson,Michigan,49201 
Jackson,Mississippi,39200 
Lincoln,Nebraska,68501 
Lincoln,New Hampshire,3251 
Longmeadow,Massachusetts,1106 
Lansing,Michigan,48901 
Los Altos,California,94022 
Marquette,Michigan,49855 
Nashville,Tennessee,37201 
Portland,Oregon,97086 
Paris,Texas,75460 
Pueblo,Colorado,81001 
Parma,Michigan,49269 
Posada,Sardinia,8020 
Quantico,Virginia,22134 
Roswell,New Mexico,88201 
Reno,Nevada,89500 
Redmond,Washington,980539805298073 
Santa Monica,California,90401 
Syracuse,Sicily,96100 
Sacramento,California,942 
Tecumseh,Michigan,49286 
Toledo,Spain,45001 
Venice,Los Angeles,90291 
Waterloo,Iowa,50701 
Winona,Mississippi,38967 
Zion,Illinois,60099 
Boise,Idaho,83701 
Lewiston,Idaho,83501 
Celebration,Florida,34747 
Wellfleet,Massachusetts,266702663 
Provincetown,Massachusetts,2657 
Bellingham,Washington,98225 
Norwich,Vermont,5055 
Monterey,California,93940 
Saint Paul,Minnesota,55101 
London,Ohio,43140 
Montpelier,Vermont,5601 
Beaverton,Oregon,9700397005 
Telluride,Colorado,81435 
Bethesda,Maryland,20800 
Silver Spring,Maryland,9223372036854775807 
Merced,California,95340 
Portland,Maine,9223372036854775807 
