FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|CENSUS_CODE|CENSUS_CLASS_CODE|GSA_CODE|OPM_CODE|STATE_NUMERIC|STATE_ALPHA|COUNTY_SEQUENCE|COUNTY_NUMERIC|COUNTY_NAME|PRIMARY_LATITUDE|PRIMARY_LONGITUDE|DATE_CREATED|DATE_EDITED
598523|Belcher Square|Populated Place|04755|U6|||25|MA|1|003|Berkshire|42.2000891|-73.346778|02/24/1974|
598526|Houghtonville|Populated Place|31260|U6|||25|MA|1|003|Berkshire|42.7125816|-73.1076038|02/24/1974|
598527|North Egremont|Populated Place|47660|U6|0907|250907003|25|MA|1|003|Berkshire|42.196756|-73.4378921|02/24/1974|
598529|White Oaks|Populated Place|79425|U6|||25|MA|1|003|Berkshire|42.7309136|-73.1976067|02/24/1974|
598532|Mundale|Populated Place|43335|U4|||25|MA|1|013|Hampden|42.1184261|-72.8112073|02/24/1974|
598534|Munns Ferry|Populated Place|43360|U6|||25|MA|1|011|Franklin|42.6542516|-72.4661987|02/24/1974|
598542|Chadwick Square|Populated Place|12260|U4|||25|MA|1|027|Worcester|42.2903707|-71.8092381|02/24/1974|
598544|Sunderland|Populated Place|68435|U4|||25|MA|1|027|Worcester|42.244538|-71.7717372|02/24/1974|
598550|Caryville|Populated Place|11700|U6|0183|250183021|25|MA|1|021|Norfolk|42.1334304|-71.4478383|02/24/1974|
598552|Collinsville|Populated Place|14745|U6|||25|MA|1|017|Middlesex|42.6834237|-71.3522845|02/24/1974|
598554|Rocks Village|Populated Place|57950|U4|||25|MA|1|009|Essex|42.8098126|-71.0022784|02/24/1974|06/30/2011
598558|Segreganset|Populated Place|60715|U6|1135|251135005|25|MA|1|005|Bristol|41.8367681|-71.1133786|02/24/1974|
598559|West Bridgewater|Populated Place|75225|U6|1400|251400023|25|MA|1|023|Plymouth|42.0189894|-71.0078215|02/24/1974|
598569|Eastland Heights|Populated Place|19520|U6|||25|MA|1|023|Plymouth|41.8501051|-70.545308|02/24/1974|
598574|Wellfleet by the Sea|Populated Place|74400|U6|||25|MA|1|001|Barnstable|41.9298277|-69.9786319|02/24/1974|
598751|Town of New Ashford|Civil|44385|T1|||25|MA|1|003|Berkshire|42.6086712|-73.2240204|08/27/2002|05/04/2017
599590|Hamilton|Populated Place|||0463|250463009|25|MA|1|009|Essex|42.6362052|-70.8431049|08/27/2002|
603396|Mattapan Station|Locale|39380|U4|||25|MA|1|025|Suffolk|42.2675987|-71.0922733|08/27/2002|
606260|South Worcester|Populated Place|65965|U4|||25|MA|1|027|Worcester|42.2437044|-71.8134047|08/27/2002|
606453|Glenwood|Populated Place|26045|U4|||25|MA|1|017|Middlesex|42.4231519|-71.0914413|07/01/1989|
606455|Farm Hill|Populated Place|23280|U6|||25|MA|1|017|Middlesex|42.4939841|-71.0906086|07/01/1989|
606673|Hancock|Populated Place|28145|U6|0458|250458003|25|MA|1|003|Berkshire|42.543138|-73.3237182|02/24/1974|
606674|Northampton|Populated Place|46330|P1|0890|250890015|25|MA|1|015|Hampshire|42.3250896|-72.6412013|02/24/1974|02/27/2008
606711|Acoaxet|Populated Place|00275|U6|0004|250004005|25|MA|1|005|Bristol|41.5070483|-71.096709|08/27/2002|
606751|Beach Point|Populated Place|04335|U6|||25|MA|1|001|Barnstable|42.054825|-70.1316923|01/01/1992|
