FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|CENSUS_CODE|CENSUS_CLASS_CODE|GSA_CODE|OPM_CODE|STATE_NUMERIC|STATE_ALPHA|COUNTY_SEQUENCE|COUNTY_NUMERIC|COUNTY_NAME|PRIMARY_LATITUDE|PRIMARY_LONGITUDE|DATE_CREATED|DATE_EDITED
611668|Burnt Swamp Corner|Locale|09960|U6|||25|MA|1|021|Norfolk|42.0189875|-71.3806127|05/21/1976|05/07/2008
611668|Burnt Swamp Corner|Locale|09960|U6|||44|RI|2|007|Providence|42.0189875|-71.3806127|05/21/1976|05/07/2008
1217464|Galilee|Populated Place|28540|U6|0060|440060009|44|RI|1|009|Washington|41.377195|-71.5102673|05/21/1976|09/14/2011
1217588|Watch Hill|Populated Place|75200|U5|||44|RI|1|009|Washington|41.3137109|-71.8497909|05/21/1976|01/13/2011
1217591|Misquamicut|Populated Place|46000|U5|||44|RI|1|009|Washington|41.3223222|-71.8161788|05/21/1976|01/29/2011
1217594|Weekapaug|Populated Place|75920|U5|0237|440237009|44|RI|1|009|Washington|41.3309336|-71.7550658|05/21/1976|08/26/2011
1217600|Avondale|Populated Place|04420|U6|||44|RI|1|009|Washington|41.3345442|-71.8353463|05/21/1976|
1217612|Langworthy Corner|Populated Place|40240|U6|||44|RI|1|009|Washington|41.3420446|-71.7686775|05/21/1976|
1217613|Dunn Corner|Populated Place|21520|U6|||44|RI|1|009|Washington|41.351489|-71.7686777|05/21/1976|
1217618|Quonochontaug|Populated Place|60260|U5|0193|440193009|44|RI|1|009|Washington|41.3356563|-71.7083974|05/21/1976|01/29/2011
1217621|Shelter Harbor|Populated Place|64940|U6|||44|RI|1|009|Washington|41.3417672|-71.730065|05/21/1976|
1217622|Haversham|Populated Place|33580|U6|||44|RI|1|009|Washington|41.3473226|-71.736732|05/21/1976|
1217624|Shady Harbor|Populated Place|64400|U6|||44|RI|1|009|Washington|41.3487116|-71.7208981|05/21/1976|
